,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,DeepSecE(0.6),Effectidor
1047,1047,1047,1047,1047,1047,1048,NP_460058.1,sulfurtransferase TusE,STM1084,yccK,1173840,1174169,-,NC_003197.2,0,0,0,0
1048,1048,1048,1048,1048,1048,1049,NP_460059.1,BAX inhibitor protein,STM1085,yccA,1174256,1174915,-,NC_003197.2,0,0,0,0
1049,1049,1049,1049,1049,1049,1050,NP_460060.1,virulence protein,STM1087,pipA,1175536,1176216,-,NC_003197.2,0,1,1,1
1050,1050,1050,1050,1050,1050,1051,NP_460061.1,effector protein PipB,STM1088,pipB,1176438,1177313,-,NC_003197.2,1,1,1,1
1051,1051,1051,1051,1051,1051,1052,NP_460062.1,Pathogenicity island encoded protein: SPI5,STM1089,,1177531,1177851,+,NC_003197.2,0,0,0,0
1052,1052,1052,1052,1052,1052,1053,NP_460063.1,type III secretion chaperone protein SigE,STM1090,pipC,1177861,1178202,-,NC_003197.2,0,1,1,0
1053,1053,1053,1053,1053,1053,1054,NP_460064.1,inositol phosphatase,STM1091,sopB,1178219,1179904,-,NC_003197.2,1,1,1,1
1054,1054,1054,1054,1054,1054,1055,NP_460065.1,DUF3950 domain-containing protein,STM1092,orfX,1180236,1180406,+,NC_003197.2,0,0,0,0
1055,1055,1055,1055,1055,1055,1056,NP_447525.1,hypothetical protein,STM1093,,1180407,1180517,-,NC_003197.2,0,0,0,0
1056,1056,1056,1056,1056,1056,1057,NP_460067.1,dipeptidase,STM1094,pipD,1180626,1182095,-,NC_003197.2,0,0,0,0
1057,1057,1057,1057,1057,1057,1058,NP_447527.1,two-component sensor histidine kinase,STM1095,copS,1182268,1183632,-,NC_003197.2,0,0,0,0
1058,1058,1058,1058,1058,1058,1059,NP_460069.3,Copper resistance transcriptional regulatory protein,STM1096,copR,1183625,1184371,-,NC_003197.2,0,0,0,0
1059,1059,1059,1059,1059,1059,1060,NP_460070.1,hydroxyisourate hydrolase,STM1097,,1184441,1184851,+,NC_003197.2,0,0,0,0
1060,1060,1060,1060,1060,1060,1061,NP_460071.1,"4-hydroxyphenylacetate 3-monooxygenase, reductase component",STM1098,hpaC,1185184,1185696,-,NC_003197.2,0,0,0,0
1061,1061,1061,1061,1061,1061,1062,NP_460072.1,"4-hydroxyphenylacetate 3-monooxygenase, oxygenase component",STM1099,hpaB,1185714,1187276,-,NC_003197.2,0,0,0,0
1062,1062,1062,1062,1062,1062,1063,NP_460073.1,"homoprotocatechuate degradation operon regulator, HpaR",STM1100,hpaR,1187494,1187934,-,NC_003197.2,0,0,0,0
1063,1063,1063,1063,1063,1063,1064,NP_460074.1,4-hydroxyphenylacetate degradation protein,STM1101,hpaG,1188209,1189498,+,NC_003197.2,0,0,0,0
1064,1064,1064,1064,1064,1064,1065,NP_460075.1,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase,STM1102,hpaE,1189495,1190961,+,NC_003197.2,0,0,0,0
1065,1065,1065,1065,1065,1065,1066,NP_460076.1,"3,4-dihydroxyphenylacetate 2,3-dioxygenase",STM1103,hpaD,1190963,1191814,+,NC_003197.2,0,0,0,0
1066,1066,1066,1066,1066,1066,1067,NP_460077.1,5-carboxymethyl-2-hydroxymuconate delta-isomerase,STM1104,hpaF,1191824,1192204,+,NC_003197.2,0,0,0,0
1067,1067,1067,1067,1067,1067,1068,NP_460078.1,"2-oxo-hepta-3-ene-1,7-dioic acid hydratase",STM1105,hpaH,1192347,1193150,+,NC_003197.2,0,0,0,0
1068,1068,1068,1068,1068,1068,1069,NP_460079.1,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase",STM1106,hpaI,1193161,1193952,+,NC_003197.2,0,0,0,0
1069,1069,1069,1069,1069,1069,1070,NP_460080.1,4-hydroxyphenylacetate permease,STM1107,hpaX,1194024,1195400,+,NC_003197.2,0,0,0,0
1070,1070,1070,1070,1070,1070,1071,NP_460081.1,4-hydroxyphenylacetate catabolism regulatory protein HpaA,STM1108,hpaA,1195410,1196306,+,NC_003197.2,0,0,0,0
1071,1071,1071,1071,1071,1071,1072,NP_460082.1,MBL fold metallo-hydrolase,STM1109,,1196320,1197258,+,NC_003197.2,0,0,0,0
1072,1072,1072,1072,1072,1072,1073,NP_460083.1,anti-adapter protein IraM,STM1110,,1197666,1198028,-,NC_003197.2,0,0,0,0
1073,1073,1073,1073,1073,1073,1074,NP_460084.1,chaperone-modulator protein CbpM,STM1111,yccD,1198682,1198987,-,NC_003197.2,0,0,0,0
1074,1074,1074,1074,1074,1074,1075,NP_460085.1,DNA-binding protein,STM1112,cbpA,1198987,1199907,-,NC_003197.2,0,0,0,0
1075,1075,1075,1075,1075,1075,1076,NP_460086.1,copper resistance protein,STM1113,scsA,1200142,1200504,+,NC_003197.2,0,0,0,0
1076,1076,1076,1076,1076,1076,1077,NP_460087.1,protein-disulfide reductase,STM1114,scsB,1200553,1202439,+,NC_003197.2,0,0,0,0
1077,1077,1077,1077,1077,1077,1078,NP_460088.1,disulfide bond formation protein DsbA,STM1115,scsC,1202436,1203059,+,NC_003197.2,0,0,0,0
1078,1078,1078,1078,1078,1078,1079,NP_460089.1,protein disulfide oxidoreductase,STM1116,scsD,1203049,1203555,+,NC_003197.2,0,0,0,0
1079,1079,1079,1079,1079,1079,1080,NP_460090.1,bifunctional glucose-1-phosphatase/inositol phosphatase,STM1117,agp,1203688,1204929,+,NC_003197.2,0,0,0,0
1080,1080,1080,1080,1080,1080,1081,NP_460091.1,hypothetical protein,STM1118,yccJ,1204963,1205190,-,NC_003197.2,0,0,0,0
1081,1081,1081,1081,1081,1081,1082,NP_460092.1,"NAD(P)H:quinone oxidoreductase, type IV",STM1119,wraB,1205211,1205807,-,NC_003197.2,0,0,0,0
1082,1082,1082,1082,1082,1082,1083,NP_460093.1,stress-induced protein,STM1121,ymdF,1206192,1206359,+,NC_003197.2,0,0,0,0
1083,1083,1083,1083,1083,1083,1084,NP_460094.1,pyrimidine utilization regulatory protein R,STM1122,ycdC,1206496,1207134,+,NC_003197.2,0,0,0,0
1084,1084,1084,1084,1084,1084,1085,NP_460095.1,hypothetical protein,STM1123,,1207131,1207526,-,NC_003197.2,0,0,0,0
1085,1085,1085,1085,1085,1085,1086,NP_447555.1,trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase,STM1124,putA,1207585,1211547,-,NC_003197.2,0,0,0,0
1086,1086,1086,1086,1086,1086,1087,NP_460097.1,sodium/proline symporter,STM1125,putP,1211969,1213477,+,NC_003197.2,0,0,0,0
1087,1087,1087,1087,1087,1087,1088,NP_447557.1,phosphate starvation protein PhoH,STM1126,phoH,1214304,1215158,+,NC_003197.2,0,0,0,0
1088,1088,1088,1088,1088,1088,1089,NP_460099.1,N-acetylmannosamine kinase,STM1127,,1215264,1216145,-,NC_003197.2,0,0,0,0
1089,1089,1089,1089,1089,1089,1090,NP_460100.1,acetylneuraminate ABC transporter,STM1128,,1216430,1217926,-,NC_003197.2,0,0,0,0
1090,1090,1090,1090,1090,1090,1091,NP_460101.1,N-acetylmannosamine-6-phosphate 2-epimerase,STM1129,,1218263,1218943,-,NC_003197.2,0,0,0,0
1091,1091,1091,1091,1091,1091,1092,NP_460102.1,N-acetylneuraminic acid mutarotase,STM1130,,1219449,1220609,+,NC_003197.2,0,0,0,0
1092,1092,1092,1092,1092,1092,1093,NP_460103.1,hypothetical protein,STM1131,,1220655,1221347,+,NC_003197.2,0,0,0,0
1093,1093,1093,1093,1093,1093,1094,NP_460104.1,MFS transporter,STM1132,,1221630,1222910,+,NC_003197.2,0,0,0,0
1094,1094,1094,1094,1094,1094,1095,NP_460105.1,putative dehydrogenases and related proteins,STM1133,,1222921,1224027,+,NC_003197.2,0,0,0,0
1095,1095,1095,1095,1095,1095,1096,NP_460106.1,bifunctional glyoxylate/hydroxypyruvate reductase A,STM1135,ycdW,1225055,1225993,+,NC_003197.2,0,0,0,0
1096,1096,1096,1096,1096,1096,1097,NP_460107.1,phosphatase,STM1136,ycdX,1226077,1226814,+,NC_003197.2,0,0,0,0
1097,1097,1097,1097,1097,1097,1098,NP_460108.1,molecular chaperone,STM1137,ycdY,1226838,1227392,+,NC_003197.2,0,1,1,0
1098,1098,1098,1098,1098,1098,1099,NP_460109.1,putative inner membrane protein,STM1138,ycdZ,1227445,1227975,+,NC_003197.2,0,0,0,0
1099,1099,1099,1099,1099,1099,1100,NP_460110.1,curli production assembly/transport protein CsgG,STM1139,csgG,1228014,1228847,-,NC_003197.2,0,0,0,0
1100,1100,1100,1100,1100,1100,1101,NP_460111.1,curli assembly protein CsgF,STM1140,csgF,1228874,1229290,-,NC_003197.2,0,0,0,0
1101,1101,1101,1101,1101,1101,1102,NP_460112.1,curli assembly protein CsgE,STM1141,csgE,1229317,1229712,-,NC_003197.2,0,0,0,0
1102,1102,1102,1102,1102,1102,1103,NP_460113.1,transcriptional regulator CsgD,STM1142,csgD,1229717,1230367,-,NC_003197.2,0,0,0,0
1103,1103,1103,1103,1103,1103,1104,NP_460114.1,curli minor subunit precursor,STM1143,csgB,1231122,1231577,+,NC_003197.2,0,0,0,0
1104,1104,1104,1104,1104,1104,1105,NP_460115.1,curli major subunit,STM1144,csgA,1231619,1232074,+,NC_003197.2,0,0,0,0
1105,1105,1105,1105,1105,1105,1106,NP_460116.1,Curli assembly protein CsgC,STM1145,csgC,1232136,1232462,+,NC_003197.2,0,0,0,0
1106,1106,1106,1106,1106,1106,1107,NP_460117.1,hypothetical protein,STM1146,ymdA,1232593,1232913,+,NC_003197.2,0,0,0,0
1107,1107,1107,1107,1107,1107,1108,NP_460118.1,O-acetyl-ADP-ribose deacetylase,STM1147,,1233002,1233541,+,NC_003197.2,0,0,0,0
1108,1108,1108,1108,1108,1108,1109,NP_460119.3,putative phospholipase,STM1148,ymdC,1233480,1234964,+,NC_003197.2,0,0,0,0
1109,1109,1109,1109,1109,1109,1110,NP_460120.1,membrane protein,STM1149,mdoC,1234981,1236135,-,NC_003197.2,0,0,0,0
1110,1110,1110,1110,1110,1110,1111,NP_460121.1,periplasmic glucans biosynthesis protein,STM1150,mdoG,1236407,1237942,+,NC_003197.2,0,0,0,0
1111,1111,1111,1111,1111,1111,1112,NP_460122.1,glucan biosynthesis glucosyltransferase H,STM1151,mdoH,1237935,1240478,+,NC_003197.2,0,0,0,0
1112,1112,1112,1112,1112,1112,1113,NP_460123.1,hypothetical protein,STM1152,yceK,1240552,1240779,+,NC_003197.2,0,0,0,0
1113,1113,1113,1113,1113,1113,1114,NP_460124.1,secY/secA suppressor protein,STM1153,msyB,1240780,1241154,-,NC_003197.2,0,0,0,0
1114,1114,1114,1114,1114,1114,1115,NP_460125.1,multidrug transporter subunit MdtG,STM1154,yceE,1241236,1242450,-,NC_003197.2,0,0,0,0
1115,1115,1115,1115,1115,1115,1116,NP_460126.1,lipid A biosynthesis lauroyl acyltransferase,STM1155,htrB,1242605,1243525,-,NC_003197.2,0,0,0,0
1116,1116,1116,1116,1116,1116,1117,NP_460127.1,hypothetical protein,STM1156,yceA,1243745,1244797,+,NC_003197.2,0,0,0,0
1117,1117,1117,1117,1117,1117,1118,NP_460128.1,hypothetical protein,STM1157,yceI,1244849,1245424,-,NC_003197.2,0,0,0,0
1118,1118,1118,1118,1118,1118,1119,NP_460129.1,cytochrome B,STM1158,,1245421,1245993,-,NC_003197.2,0,0,0,0
1119,1119,1119,1119,1119,1119,1120,NP_460130.1,DUF2770 domain-containing protein,STM1159,yceO,1246256,1246369,-,NC_003197.2,0,0,0,0
1120,1120,1120,1120,1120,1120,1121,NP_460131.1,N-methyltryptophan oxidase,STM1160,solA,1246410,1247528,-,NC_003197.2,0,0,0,0
1121,1121,1121,1121,1121,1121,1122,NP_460132.3,transcriptional regulator,STM1161,yceP,1247641,1247895,-,NC_003197.2,0,0,0,0
1122,1122,1122,1122,1122,1122,1123,NP_460133.1,DNA damage-inducible protein I,STM1162,dinI,1248185,1248430,-,NC_003197.2,0,1,0,0
1123,1123,1123,1123,1123,1123,1124,NP_460134.1,dihydroorotase,STM1163,pyrC,1248504,1249550,-,NC_003197.2,0,0,0,0
1124,1124,1124,1124,1124,1124,1125,NP_460135.1,hypothetical protein,STM1164,yceB,1249655,1250215,-,NC_003197.2,0,0,0,0
1125,1125,1125,1125,1125,1125,1126,NP_460136.1,"glutaredoxin, GrxB family",STM1165,grxB,1250340,1250987,-,NC_003197.2,0,0,0,0
1126,1126,1126,1126,1126,1126,1127,NP_460137.1,MFS transporter,STM1166,yceL,1251051,1252259,-,NC_003197.2,0,0,0,0
1127,1127,1127,1127,1127,1127,1128,NP_460138.1,ribosomal protein S5 alanine N-acetyltransferase,STM1167,rimJ,1252496,1253080,+,NC_003197.2,0,0,0,0
1128,1128,1128,1128,1128,1128,1129,NP_460139.1,DUF480 domain-containing protein,STM1168,yceH,1253116,1253763,+,NC_003197.2,0,0,0,0
1129,1129,1129,1129,1129,1129,1130,NP_460140.1,virulence factor MviM,STM1169,mviM,1253765,1254688,+,NC_003197.2,0,0,0,0
1130,1130,1130,1130,1130,1130,1131,NP_460141.1,putative virulence factor,STM1170,mviN,1254953,1256527,+,NC_003197.2,0,0,0,0
1131,1131,1131,1131,1131,1131,1132,NP_460142.1,flagellar biosynthesis protein FlgN,STM1171,flgN,1256609,1257031,-,NC_003197.2,0,0,0,0
1132,1132,1132,1132,1132,1132,1133,NP_460143.1,anti-sigma-28 factor FlgM,STM1172,flgM,1257036,1257329,-,NC_003197.2,0,1,1,0
1133,1133,1133,1133,1133,1133,1134,NP_460144.1,flagella basal body P-ring formation protein FlgA,STM1173,flgA,1257421,1258080,-,NC_003197.2,0,0,0,0
1134,1134,1134,1134,1134,1134,1135,NP_460145.1,flagellar basal body rod protein FlgB,STM1174,flgB,1258237,1258653,+,NC_003197.2,0,0,0,0
1135,1135,1135,1135,1135,1135,1136,NP_460146.1,flagellar basal body rod protein FlgC,STM1175,flgC,1258657,1259061,+,NC_003197.2,0,0,0,0
1136,1136,1136,1136,1136,1136,1137,NP_460147.1,flagellar basal body rod modification protein,STM1176,flgD,1259073,1259771,+,NC_003197.2,0,0,0,0
1137,1137,1137,1137,1137,1137,1138,NP_460148.1,flagellar hook protein FlgE,STM1177,flgE,1259798,1261009,+,NC_003197.2,0,0,0,0
1138,1138,1138,1138,1138,1138,1139,NP_460149.1,flagellar biosynthesis protein FlgF,STM1178,flgF,1261030,1261785,+,NC_003197.2,0,0,0,0
1139,1139,1139,1139,1139,1139,1140,NP_460150.1,flagellar basal-body rod protein FlgG,STM1179,flgG,1261799,1262581,+,NC_003197.2,0,0,0,0
1140,1140,1140,1140,1140,1140,1141,NP_460151.1,flagellar basal body L-ring protein,STM1180,flgH,1262636,1263334,+,NC_003197.2,0,0,0,0
1141,1141,1141,1141,1141,1141,1142,NP_460152.1,flagellar biosynthesis protein FlgA,STM1181,flgI,1263346,1264443,+,NC_003197.2,0,0,0,0
1142,1142,1142,1142,1142,1142,1143,NP_460153.1,flagellar rod assembly protein/muramidase FlgJ,STM1182,flgJ,1264443,1265393,+,NC_003197.2,0,0,0,0
1143,1143,1143,1143,1143,1143,1144,NP_460154.1,flagellar hook-associated protein FlgK,STM1183,flgK,1265458,1267119,+,NC_003197.2,0,0,0,0
1144,1144,1144,1144,1144,1144,1145,NP_460155.1,flagellar hook-filament junction protein FlgL,STM1184,flgL,1267134,1268087,+,NC_003197.2,0,0,0,0
1145,1145,1145,1145,1145,1145,1146,NP_460156.1,ribonuclease E,STM1185,rne,1268344,1271547,-,NC_003197.2,0,0,0,0
1146,1146,1146,1146,1146,1146,1147,NP_460157.1,23S rRNA pseudouridine(955/2504/2580) synthase,STM1187,rluC,1272121,1273080,+,NC_003197.2,0,0,0,0
1147,1147,1147,1147,1147,1147,1148,NP_460158.1,putative inner membrane lipoprotein,STM1188,,1273236,1273979,+,NC_003197.2,0,0,0,0
1148,1148,1148,1148,1148,1148,1149,NP_460159.1,septum formation inhibitor Maf,STM1189,yceF,1274481,1275065,-,NC_003197.2,0,0,0,0
1149,1149,1149,1149,1149,1149,1150,NP_460160.1,hypothetical protein,STM1190,yceD,1275263,1275784,+,NC_003197.2,0,0,0,0
1150,1150,1150,1150,1150,1150,1151,NP_460161.1,50S ribosomal protein L32,STM1191,rpmF,1275836,1276009,+,NC_003197.2,0,0,0,0
1151,1151,1151,1151,1151,1151,1152,NP_460162.1,phosphate acyltransferase,STM1192,plsX,1276143,1277222,+,NC_003197.2,0,0,0,0
1152,1152,1152,1152,1152,1152,1153,NP_460163.1,3-oxoacyl-ACP synthase,STM1193,fabH,1277302,1278255,+,NC_003197.2,0,0,0,0
1153,1153,1153,1153,1153,1153,1154,NP_460164.1,[acyl-carrier-protein,STM1194,fabD,1278271,1279200,+,NC_003197.2,0,0,0,0
1154,1154,1154,1154,1154,1154,1155,NP_460165.1,3-oxoacyl-ACP reductase,STM1195,fabG,1279213,1279947,+,NC_003197.2,0,0,0,0
1155,1155,1155,1155,1155,1155,1156,NP_460166.1,acyl carrier protein,STM1196,acpP,1280103,1280339,+,NC_003197.2,0,0,0,0
1156,1156,1156,1156,1156,1156,1157,NP_460167.1,beta-ketoacyl-[acyl-carrier-protein,STM1197,fabF,1280425,1281666,+,NC_003197.2,0,0,0,0
1157,1157,1157,1157,1157,1157,1158,NP_460168.1,aminodeoxychorismate lyase,STM1198,pabC,1281790,1282599,+,NC_003197.2,0,0,0,0
1158,1158,1158,1158,1158,1158,1159,NP_460169.1,cell division protein YceG,STM1199,yceG,1282602,1283624,+,NC_003197.2,0,0,0,0
1159,1159,1159,1159,1159,1159,1160,NP_460170.1,dTMP kinase,STM1200,tmk,1283614,1284255,+,NC_003197.2,0,0,0,0
1160,1160,1160,1160,1160,1160,1161,NP_460171.1,DNA polymerase III subunit delta',STM1201,holB,1284252,1285256,+,NC_003197.2,0,0,0,0
1161,1161,1161,1161,1161,1161,1162,NP_460172.1,putative metal-dependent hydrolase,STM1202,ycfH,1285267,1286064,+,NC_003197.2,0,0,0,0
1162,1162,1162,1162,1162,1162,1163,NP_460173.1,PTS glucose transporter subunit IIBC,STM1203,ptsG,1286359,1287792,+,NC_003197.2,0,0,0,0
1163,1163,1163,1163,1163,1163,1164,NP_460174.1,ferric-rhodotorulic acid/ferric-coprogen receptor FhuE,STM1204,fhuE,1287877,1290051,-,NC_003197.2,0,0,0,0
1164,1164,1164,1164,1164,1164,1165,NP_460175.1,histidine triad nucleotide-binding protein,STM1205,ycfF,1290393,1290752,+,NC_003197.2,0,0,0,0
1165,1165,1165,1165,1165,1165,1166,NP_460176.1,hypothetical protein,STM1206,ycfL,1290755,1291129,+,NC_003197.2,0,0,0,0
1166,1166,1166,1166,1166,1166,1167,NP_460177.1,penicillin-binding protein activator LpoB,STM1207,ycfM,1291143,1291781,+,NC_003197.2,0,0,0,0
1167,1167,1167,1167,1167,1167,1168,NP_460178.1,thiamine kinase,STM1208,ycfN,1291762,1292586,+,NC_003197.2,0,1,0,0
1168,1168,1168,1168,1168,1168,1169,NP_460179.1,beta-N-acetylhexosaminidase,STM1209,nagZ,1292597,1293622,+,NC_003197.2,0,0,0,0
1169,1169,1169,1169,1169,1169,1170,NP_460180.1,hypothetical protein,STM1210,ycfP,1293647,1294189,+,NC_003197.2,0,0,0,0
1170,1170,1170,1170,1170,1170,1171,NP_460181.1,FAD-dependent oxidoreductase,STM1211,ndh,1294444,1295748,+,NC_003197.2,0,0,0,0
1171,1171,1171,1171,1171,1171,1172,NP_460182.1,hypothetical protein,STM1212,ycfJ,1295927,1296466,+,NC_003197.2,0,0,0,0
1172,1172,1172,1172,1172,1172,1173,NP_460183.1,TetR family transcriptional regulator,STM1213,ycfQ,1296541,1297176,-,NC_003197.2,0,0,0,0
1173,1173,1173,1173,1173,1173,1174,NP_460184.1,multiple stress resistance protein BhsA,STM1214,ycfR,1297418,1297675,+,NC_003197.2,0,0,0,0
1174,1174,1174,1174,1174,1174,1175,NP_460185.1,"L,D-transpeptidase",STM1215,ycfS,1297772,1298737,-,NC_003197.2,0,0,0,0
1175,1175,1175,1175,1175,1175,1176,NP_460186.1,transcription-repair coupling factor,STM1216,mfd,1298885,1302331,-,NC_003197.2,0,0,0,0
1176,1176,1176,1176,1176,1176,1177,NP_460187.3,integral membrane protein ABC transporter,STM1217,ycfU,1302558,1303868,+,NC_003197.2,0,0,0,0
1177,1177,1177,1177,1177,1177,1178,NP_460188.1,lipoprotein ABC transporter ATP-binding protein LolD,STM1218,ycfV,1303861,1304562,+,NC_003197.2,0,0,0,0
1178,1178,1178,1178,1178,1178,1179,NP_460189.1,lipoprotein transporter subunit LolE,STM1219,ycfW,1304562,1305806,+,NC_003197.2,0,0,0,0
1179,1179,1179,1179,1179,1179,1180,NP_460190.1,N-acetylglucosamine kinase,STM1220,ycfX,1305835,1306746,+,NC_003197.2,0,0,0,0
1180,1180,1180,1180,1180,1180,1181,NP_460191.1,NAD-dependent protein deacylase,STM1221,cobB,1306765,1307586,+,NC_003197.2,0,0,0,0
1181,1181,1181,1181,1181,1181,1182,NP_460192.1,spermidine/putrescine ABC transporter substrate-binding protein PotD,STM1222,potD,1307668,1308714,-,NC_003197.2,0,0,0,0
1182,1182,1182,1182,1182,1182,1183,NP_460193.1,spermidine/putrescine ABC transporter permease PotC,STM1223,potC,1308739,1309518,-,NC_003197.2,0,0,0,0
1183,1183,1183,1183,1183,1183,1184,NP_460194.1,effector protein SifA,STM1224,sifA,1309834,1310844,-,NC_003197.2,1,1,1,1
1184,1184,1184,1184,1184,1184,1185,NP_460195.1,spermidine/putrescine ABC transporter permease PotB,STM1225,potB,1311173,1312036,-,NC_003197.2,0,0,0,0
1185,1185,1185,1185,1185,1185,1186,NP_460196.1,spermidine/putrescine transporter,STM1226,potA,1312020,1313156,-,NC_003197.2,0,0,0,0
1186,1186,1186,1186,1186,1186,1187,NP_460197.1,aminotripeptidase,STM1227,pepT,1313407,1314636,+,NC_003197.2,0,0,0,0
1187,1187,1187,1187,1187,1187,1188,NP_460198.1,hypothetical protein,STM1228,,1314640,1315974,+,NC_003197.2,0,0,0,0
1188,1188,1188,1188,1188,1188,1189,NP_460199.1,50S ribosomal protein L16 arginine hydroxylase,STM1229,ycfD,1316014,1317135,-,NC_003197.2,0,0,0,0
1189,1189,1189,1189,1189,1189,1190,NP_460200.1,sensor protein PhoQ,STM1230,phoQ,1317216,1318679,-,NC_003197.2,0,0,0,0
1190,1190,1190,1190,1190,1190,1191,NP_460201.1,response regulator in two-component regulatory system with PhoQ,STM1231,phoP,1318679,1319353,-,NC_003197.2,0,0,0,0
1191,1191,1191,1191,1191,1191,1192,NP_460202.1,adenylosuccinate lyase,STM1232,purB,1319477,1320847,-,NC_003197.2,0,0,0,0
1192,1192,1192,1192,1192,1192,1193,NP_460203.1,unknown membrane associated protein,STM1233,ycfC,1320851,1321498,-,NC_003197.2,0,0,0,0
1193,1193,1193,1193,1193,1193,1194,NP_460204.3,tRNA 2-thiouridine(34) synthase MnmA,STM1234,trmU,1321579,1322730,-,NC_003197.2,0,0,0,0
1194,1194,1194,1194,1194,1194,1195,NP_460205.1,NUDIX hydrolase,STM1235,ymfB,1322739,1323200,-,NC_003197.2,0,0,0,0
1195,1195,1195,1195,1195,1195,1196,NP_460206.1,hypothetical protein,STM1236,,1323212,1323541,-,NC_003197.2,0,0,0,0
1196,1196,1196,1196,1196,1196,1197,NP_460207.1,23S rRNA pseudouridine synthase E,STM1237,ymfC,1323538,1324203,-,NC_003197.2,0,0,0,0
1197,1197,1197,1197,1197,1197,1198,NP_460208.1,NADP-dependent isocitrate dehydrogenase,STM1238,icdA,1324375,1325625,+,NC_003197.2,0,0,0,0
1198,1198,1198,1198,1198,1198,1199,NP_460209.1,hypothetical protein,STM1239,,1326073,1327197,+,NC_003197.2,0,1,1,0
1199,1199,1199,1199,1199,1199,1200,NP_460210.1,lipoprotein EnvF,STM1240,envF,1328179,1328967,-,NC_003197.2,0,0,0,0
1200,1200,1200,1200,1200,1200,1201,NP_460211.1,DinI family protein,STM1241,msgA,1329456,1329695,-,NC_003197.2,0,0,0,0
1201,1201,1201,1201,1201,1201,1202,NP_460212.1,lipoprotein EnvE,STM1242,envE,1329886,1330407,-,NC_003197.2,0,0,0,0
1202,1202,1202,1202,1202,1202,1203,NP_460213.1,cold-shock protein,STM1243,,1330822,1331034,-,NC_003197.2,0,0,0,0
1203,1203,1203,1203,1203,1203,1204,NP_460214.1,virulence factor,STM1244,pagD,1331166,1331429,-,NC_003197.2,0,0,0,0
1204,1204,1204,1204,1204,1204,1205,NP_460215.1,hypothetical protein,STM1246,pagC,1332241,1332798,+,NC_003197.2,0,0,0,0
1205,1205,1205,1205,1205,1205,1206,NP_460216.1,lysozyme inhibitor,STM1249,,1334035,1334379,-,NC_003197.2,0,0,0,0
1206,1206,1206,1206,1206,1206,1207,NP_460217.1,putative cytoplasmic protein,STM1250,,1335082,1335354,+,NC_003197.2,0,0,0,0
1207,1207,1207,1207,1207,1207,1208,NP_460218.1,heat-shock protein,STM1251,,1335506,1335973,+,NC_003197.2,0,0,0,0
1208,1208,1208,1208,1208,1208,1209,NP_460219.1,hypothetical protein,STM1252,,1336312,1337355,+,NC_003197.2,0,0,0,0
1209,1209,1209,1209,1209,1209,1210,NP_460220.1,cytochrome b,STM1253,,1337438,1337968,-,NC_003197.2,0,0,0,0
1210,1210,1210,1210,1210,1210,1211,NP_460221.1,hypothetical protein,STM1254,,1338117,1338431,-,NC_003197.2,0,0,0,0
1211,1211,1211,1211,1211,1211,1212,NP_460222.1,nickel ABC transporter substrate-binding protein,STM1255,,1339113,1340747,+,NC_003197.2,0,0,0,0
1212,1212,1212,1212,1212,1212,1213,NP_460223.1,peptide ABC transporter permease,STM1256,,1340747,1341721,+,NC_003197.2,0,0,0,0
1213,1213,1213,1213,1213,1213,1214,NP_460224.1,peptide ABC transporter permease,STM1257,,1341711,1342523,+,NC_003197.2,0,0,0,0
1214,1214,1214,1214,1214,1214,1215,NP_460225.1,peptide ABC transporter ATP-binding protein,STM1258,,1342517,1343314,+,NC_003197.2,0,0,0,0
1215,1215,1215,1215,1215,1215,1216,NP_460226.1,peptide ABC transporter ATP-binding protein,STM1259,,1343308,1343898,+,NC_003197.2,0,0,0,0
1216,1216,1216,1216,1216,1216,1217,NP_460227.1,mechanosensitive ion channel protein MscS,STM1260,,1343980,1345113,-,NC_003197.2,0,0,0,0
1217,1217,1217,1217,1217,1217,1218,NP_460228.1,four-helix bundle copper-binding protein,STM1261,,1345307,1345633,+,NC_003197.2,0,0,0,0
1218,1218,1218,1218,1218,1218,1219,NP_460229.3,putative periplasmic protein,STM1263,,1345830,1346477,+,NC_003197.2,0,0,0,0
1219,1219,1219,1219,1219,1219,1220,NP_460230.1,aminoglycoside resistance protein,STM1264,aadA,1346586,1347374,+,NC_003197.2,0,0,0,0
1220,1220,1220,1220,1220,1220,1221,NP_460231.1,putative response regulators,STM1265,,1347519,1348112,+,NC_003197.2,0,0,0,0
1221,1221,1221,1221,1221,1221,1222,NP_460232.1,putative transcriptional regulator,STM1266,,1348181,1349029,+,NC_003197.2,0,0,0,0
1222,1222,1222,1222,1222,1222,1223,NP_460233.1,histidine kinase,STM1267,,1349284,1349532,-,NC_003197.2,0,0,0,0
1223,1223,1223,1223,1223,1223,1224,NP_460234.1,hypothetical protein,STM1268,,1349611,1349760,-,NC_003197.2,0,0,0,0
1224,1224,1224,1224,1224,1224,1225,NP_460235.1,putative chorismate mutase,STM1269,,1349843,1350388,+,NC_003197.2,0,0,0,0
