id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,DeepSecE(0.6)
543,NP_249232.1,hypothetical protein,PA0541,,599107,599565,+,NC_002516.2,0,0,0
544,NP_249233.1,hypothetical protein,PA0542,,599757,600176,-,NC_002516.2,0,0,0
545,NP_249234.1,hypothetical protein,PA0543,,600426,601394,+,NC_002516.2,0,0,0
546,NP_249235.1,hypothetical protein,PA0544,,601398,602141,-,NC_002516.2,0,0,0
547,NP_249236.1,hypothetical protein,PA0545,,602346,603650,+,NC_002516.2,0,0,0
548,NP_249237.1,S-adenosylmethionine synthetase,PA0546,metK,603706,604896,-,NC_002516.2,0,0,0
549,NP_249238.1,transcriptional regulator,PA0547,,604912,605913,-,NC_002516.2,0,0,0
550,NP_249239.1,transketolase,PA0548,tktA,606160,608157,+,NC_002516.2,0,0,0
551,NP_249240.1,hypothetical protein,PA0549,,608157,609221,+,NC_002516.2,0,1,1
552,NP_249241.1,hypothetical protein,PA0550,,609202,609999,-,NC_002516.2,0,0,0
553,NP_249242.1,D-erythrose 4-phosphate dehydrogenase,PA0551,epd,610214,611275,+,NC_002516.2,0,0,0
554,NP_249243.1,phosphoglycerate kinase,PA0552,pgk,611281,612444,+,NC_002516.2,0,0,0
555,NP_249244.1,hypothetical protein,PA0553,,612517,612717,+,NC_002516.2,0,0,0
556,NP_249245.1,hypothetical protein,PA0554,,612877,613218,+,NC_002516.2,0,0,0
557,NP_249246.1,"fructose-1,6-bisphosphate aldolase",PA0555,fda,613338,614402,+,NC_002516.2,0,0,0
558,NP_249247.1,hypothetical protein,PA0556,,614468,614950,+,NC_002516.2,0,0,0
559,NP_249248.1,hypothetical protein,PA0557,,614952,615608,-,NC_002516.2,0,0,0
560,NP_249249.1,hypothetical protein,PA0558,,615607,616374,+,NC_002516.2,0,0,0
561,NP_249250.1,hypothetical protein,PA0559,,616371,617549,-,NC_002516.2,0,0,0
562,NP_249251.1,hypothetical protein,PA0560,,617662,618150,+,NC_002516.2,0,0,0
563,NP_249252.1,hypothetical protein,PA0561,,618176,619330,+,NC_002516.2,0,0,0
564,NP_249253.1,hydrolase,PA0562,,619332,620006,-,NC_002516.2,0,0,0
565,NP_249254.1,hypothetical protein,PA0563,,620135,620488,-,NC_002516.2,0,0,0
566,NP_249255.1,transcriptional regulator,PA0564,,620666,621577,-,NC_002516.2,0,0,0
567,NP_249256.1,hypothetical protein,PA0565,,621695,622033,+,NC_002516.2,0,0,0
568,NP_249257.1,hypothetical protein,PA0566,,622023,622538,-,NC_002516.2,0,0,0
569,NP_249258.1,hypothetical protein,PA0567,,622726,622884,+,NC_002516.2,0,0,0
570,NP_249259.1,hypothetical protein,PA0568,,622894,623352,-,NC_002516.2,0,0,0
571,NP_249260.1,hypothetical protein,PA0569,,623368,623838,-,NC_002516.2,0,0,0
572,NP_249261.1,hypothetical protein,PA0570,,623852,624199,-,NC_002516.2,0,0,0
573,NP_249262.1,hypothetical protein,PA0571,,624189,624803,-,NC_002516.2,0,0,0
574,NP_249263.1,hypothetical protein,PA0572,,624994,627765,-,NC_002516.2,0,0,0
575,NP_249264.1,hypothetical protein,PA0573,,628335,628670,-,NC_002516.2,0,0,0
576,NP_249265.1,hypothetical protein,PA0574,,628763,629884,-,NC_002516.2,0,0,0
577,NP_249266.1,hypothetical protein,PA0575,,630527,634264,-,NC_002516.2,0,0,0
578,NP_249267.1,RNA polymerase sigma factor RpoD,PA0576,rpoD,634371,636224,-,NC_002516.2,0,0,0
579,NP_249268.1,DNA primase,PA0577,dnaG,636304,638298,-,NC_002516.2,0,0,0
580,NP_249269.1,hypothetical protein,PA0578,,638381,638830,-,NC_002516.2,0,0,0
581,NP_249270.1,30S ribosomal protein S21,PA0579,rpsU,638900,639115,-,NC_002516.2,0,0,0
582,NP_249271.1,tRNA N6-adenosine threonylcarbamoyltransferase,PA0580,gcp,639316,640341,+,NC_002516.2,0,0,0
583,NP_249272.1,glycerol-3-phosphate acyltransferase PlsY,PA0581,,640420,640989,-,NC_002516.2,0,0,0
584,NP_249273.1,dihydroneopterin aldolase,PA0582,folB,641073,641426,+,NC_002516.2,0,0,0
585,NP_249274.1,hypothetical protein,PA0583,,641417,641959,+,NC_002516.2,0,0,0
586,NP_249275.1,multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase,PA0584,cca,641932,643164,-,NC_002516.2,0,0,0
587,NP_249276.1,hypothetical protein,PA0585,,643208,643714,-,NC_002516.2,0,0,0
588,NP_249277.1,hypothetical protein,PA0586,,643808,645361,-,NC_002516.2,0,0,0
589,NP_249278.1,hypothetical protein,PA0587,,645358,646629,-,NC_002516.2,0,0,0
590,NP_249279.1,hypothetical protein,PA0588,,646730,648652,-,NC_002516.2,0,0,0
591,NP_249280.1,thiosulfate sulfurtransferase,PA0589,,648931,649263,-,NC_002516.2,0,0,0
592,NP_249281.1,bis(5'-nucleosyl)-tetraphosphatase,PA0590,apaH,649307,650158,-,NC_002516.2,0,0,0
593,NP_249282.1,protein ApaG,PA0591,,650158,650538,-,NC_002516.2,0,0,0
594,NP_249283.1,ribosomal RNA small subunit methyltransferase A,PA0592,ksgA,650575,651381,-,NC_002516.2,0,0,0
595,NP_249284.1,4-hydroxythreonine-4-phosphate dehydrogenase,PA0593,pdxA,651497,652483,-,NC_002516.2,0,0,0
596,NP_249285.1,chaperone SurA,PA0594,surA,652480,653772,-,NC_002516.2,0,0,0
597,NP_249286.1,organic solvent tolerance protein OstA,PA0595,ostA,653753,656527,-,NC_002516.2,0,0,0
598,NP_249287.1,hypothetical protein,PA0596,,656654,657670,+,NC_002516.2,0,0,0
599,NP_249288.1,nucleotidyl transferase,PA0597,,657667,658341,+,NC_002516.2,0,0,0
600,NP_249289.1,hypothetical protein,PA0598,,658343,659101,+,NC_002516.2,0,0,0
601,NP_249290.1,hypothetical protein,PA0599,,659102,660163,-,NC_002516.2,0,0,0
602,NP_249291.1,two-component sensor,PA0600,,660315,662708,+,NC_002516.2,0,0,0
603,NP_249292.1,two-component response regulator,PA0601,,662754,663386,+,NC_002516.2,0,0,0
604,NP_249293.1,ABC transporter,PA0602,,663515,664549,+,NC_002516.2,0,0,0
605,NP_249294.1,ABC transporter ATP-binding protein,PA0603,,664783,665892,+,NC_002516.2,0,0,0
606,NP_249295.1,ABC transporter,PA0604,,665948,666994,+,NC_002516.2,0,0,0
607,NP_249296.1,ABC transporter permease,PA0605,,667108,668355,+,NC_002516.2,0,0,0
608,NP_249297.1,ABC transporter permease,PA0606,,668461,669291,+,NC_002516.2,0,0,0
609,NP_249298.1,ribulose-phosphate 3-epimerase,PA0607,rpe,669415,670089,+,NC_002516.2,0,0,0
610,NP_249299.1,phosphoglycolate phosphatase,PA0608,,670089,670907,+,NC_002516.2,0,0,0
611,NP_249300.1,anthranilate synthase component I,PA0609,trpE,670980,672458,+,NC_002516.2,0,0,0
612,NP_249301.1,transcriptional regulator PrtN,PA0610,prtN,672777,673091,-,NC_002516.2,0,0,0
613,NP_249302.1,HTH-type transcriptional regulator PrtR,PA0611,prtR,673191,673961,-,NC_002516.2,0,0,0
614,NP_249303.1,repressor PtrB,PA0612,ptrB,674419,674619,+,NC_002516.2,0,0,0
615,NP_249304.1,hypothetical protein,PA0613,,674667,675026,+,NC_002516.2,0,0,0
616,NP_249305.1,hypothetical protein,PA0614,,675390,675839,+,NC_002516.2,0,0,0
617,NP_249306.1,hypothetical protein,PA0615,,675861,676376,+,NC_002516.2,0,1,1
618,NP_249307.1,hypothetical protein,PA0616,,676373,676930,+,NC_002516.2,0,1,1
619,NP_249308.1,bacteriophage protein,PA0617,,677083,677409,+,NC_002516.2,0,0,0
620,NP_249309.1,bacteriophage protein,PA0618,,677406,678293,+,NC_002516.2,0,0,0
621,NP_249310.1,bacteriophage protein,PA0619,,678286,678819,+,NC_002516.2,0,0,0
622,NP_249311.1,bacteriophage protein,PA0620,,678821,680896,+,NC_002516.2,0,1,1
623,NP_249312.1,hypothetical protein,PA0621,,680893,681351,+,NC_002516.2,0,0,0
624,NP_249313.1,bacteriophage protein,PA0622,,681394,682554,+,NC_002516.2,0,0,0
625,NP_249314.1,bacteriophage protein,PA0623,,682567,683070,+,NC_002516.2,0,1,1
626,NP_249315.1,hypothetical protein,PA0624,,683085,683429,+,NC_002516.2,0,0,0
627,NP_249316.1,hypothetical protein,PA0625,,683599,685836,+,NC_002516.2,0,1,1
628,NP_249317.1,hypothetical protein,PA0626,,685846,686718,+,NC_002516.2,0,1,1
629,NP_249318.1,hypothetical protein,PA0627,,686693,686899,+,NC_002516.2,0,0,0
630,NP_249319.1,hypothetical protein,PA0628,,686957,687946,+,NC_002516.2,0,1,1
631,NP_249320.1,hypothetical protein,PA0629,,687979,688608,+,NC_002516.2,0,0,0
632,NP_249321.1,hypothetical protein,PA0630,,688605,688967,+,NC_002516.2,0,0,0
633,NP_249322.1,hypothetical protein,PA0631,,688964,689221,+,NC_002516.2,0,0,0
634,NP_249324.1,hypothetical protein,PA0633,,689537,690031,+,NC_002516.2,0,1,1
635,NP_249325.1,hypothetical protein,PA0634,,690043,690390,+,NC_002516.2,0,0,0
636,NP_249326.1,hypothetical protein,PA0635,,690420,690674,+,NC_002516.2,0,0,0
637,NP_249327.1,hypothetical protein,PA0636,,690721,692556,+,NC_002516.2,0,1,1
638,NP_249328.1,hypothetical protein,PA0637,,692549,692890,+,NC_002516.2,0,1,1
639,NP_249329.1,bacteriophage protein,PA0638,,692898,693593,+,NC_002516.2,0,1,1
640,NP_249330.1,hypothetical protein,PA0639,,693596,694366,+,NC_002516.2,0,0,0
641,NP_249331.1,bacteriophage protein,PA0640,,694421,695023,+,NC_002516.2,0,1,1
642,NP_249332.1,bacteriophage protein,PA0641,,695082,698696,+,NC_002516.2,0,1,1
643,NP_249334.1,hypothetical protein,PA0643,,699744,700835,+,NC_002516.2,0,1,1
644,NP_249335.1,hypothetical protein,PA0644,,700835,701170,+,NC_002516.2,0,0,0
645,NP_249336.1,hypothetical protein,PA0645,,701151,701381,+,NC_002516.2,0,0,0
646,NP_249337.1,hypothetical protein,PA0646,,701477,702529,+,NC_002516.2,0,1,1
647,NP_249338.1,hypothetical protein,PA0647,,702529,702831,+,NC_002516.2,0,0,0
648,NP_249339.1,hypothetical protein,PA0648,,702828,703058,+,NC_002516.2,0,0,0
649,NP_249340.1,anthranilate synthase component II,PA0649,trpG,703477,704082,+,NC_002516.2,0,0,0
650,NP_249341.1,anthranilate phosphoribosyltransferase,PA0650,trpD,704084,705133,+,NC_002516.2,0,0,0
651,NP_249342.1,indole-3-glycerol phosphate synthase,PA0651,trpC,705130,705966,+,NC_002516.2,0,0,0
652,NP_249343.1,cAMP-regulatory protein,PA0652,vfr,706028,706672,-,NC_002516.2,0,0,0
653,NP_249344.1,hypothetical protein,PA0653,,706944,707366,+,NC_002516.2,0,0,0
654,NP_249345.1,S-adenosylmethionine decarboxylase,PA0654,speD,707686,708480,+,NC_002516.2,0,0,0
655,NP_249346.1,"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",PA0655,,708535,709182,-,NC_002516.2,0,0,0
656,NP_249347.1,HIT family protein,PA0656,,709282,709620,-,NC_002516.2,0,0,0
657,NP_249348.1,ATPase,PA0657,,709699,711180,+,NC_002516.2,0,0,0
658,NP_249349.1,short-chain dehydrogenase,PA0658,,711220,712020,-,NC_002516.2,0,0,0
659,NP_249350.1,hypothetical protein,PA0659,,712081,713157,-,NC_002516.2,0,0,0
660,NP_249351.1,hypothetical protein,PA0660,,713279,714247,-,NC_002516.2,0,0,0
661,NP_249352.1,hypothetical protein,PA0661,,714264,714686,-,NC_002516.2,0,0,0
662,NP_249353.1,N-acetyl-gamma-glutamyl-phosphate reductase,PA0662,argC,714977,716011,+,NC_002516.2,0,0,0
663,NP_249354.1,hypothetical protein,PA0663,,716011,716730,+,NC_002516.2,0,0,0
664,NP_249355.1,hypothetical protein,PA0664,,716731,717153,+,NC_002516.2,0,0,0
665,NP_249356.1,iron-sulfur cluster insertion protein ErpA,PA0665,,717231,717581,+,NC_002516.2,0,0,0
666,NP_249357.1,anhydro-N-acetylmuramic acid kinase,PA0666,,717635,718726,-,NC_002516.2,0,0,0
667,NP_249358.1,hypothetical protein,PA0667,,718729,720072,-,NC_002516.2,0,0,0
668,NP_249359.1,tyrosine--tRNA ligase,PA0668,tyrZ,720357,721556,+,NC_002516.2,0,0,0
669,NP_249360.3,error-prone DNA polymerase,PA0669,,727608,730703,-,NC_002516.2,0,0,0
670,NP_249361.1,hypothetical protein,PA0670,,730679,732094,-,NC_002516.2,0,0,0
671,NP_249362.1,hypothetical protein,PA0671,,732102,732653,-,NC_002516.2,0,0,0
672,NP_249363.1,heme oxygenase,PA0672,hemO,732959,733555,+,NC_002516.2,0,0,0
673,NP_249364.1,hypothetical protein,PA0673,,733673,733993,-,NC_002516.2,0,0,0
674,NP_249365.1,hypothetical protein,PA0674,vreA,734159,734875,+,NC_002516.2,0,0,0
675,NP_249366.1,ECF sigma factor VreI,PA0675,vreI,734872,735417,+,NC_002516.2,0,0,0
676,NP_249367.1,sigma factor regulator VreR,PA0676,vreR,735487,736446,+,NC_002516.2,0,0,0
677,NP_249368.1,HxcW pseudopilin,PA0677,,736456,737097,-,NC_002516.2,0,0,0
678,NP_249369.1,HxcU pseudopilin,PA0678,,737081,737530,-,NC_002516.2,0,0,0
679,NP_249370.1,hypothetical protein,PA0679,,737677,738108,+,NC_002516.2,0,0,0
680,NP_249371.1,HxcV pseudopilin,PA0680,,738111,738485,-,NC_002516.2,0,0,0
681,NP_249372.1,HxcT pseudopilin,PA0681,,738719,739168,+,NC_002516.2,0,0,0
682,NP_249373.1,HxcX atypical pseudopilin,PA0682,,739176,740141,+,NC_002516.2,0,0,0
683,NP_249374.1,type II secretion system protein,PA0683,,740203,741348,+,NC_002516.2,0,0,0
684,NP_249375.1,type II secretion system protein,PA0684,,741335,741928,+,NC_002516.2,0,0,0
685,NP_249376.1,type II secretion system protein,PA0685,,741925,744336,+,NC_002516.2,0,0,0
686,NP_249377.1,type II secretion system protein HxcR,PA0686,,744333,745742,+,NC_002516.2,0,0,0
687,NP_249378.1,type II secretion system protein,PA0687,,745742,746956,+,NC_002516.2,0,0,0
688,NP_249379.1,alkaline phosphatase L,PA0688,,747470,748576,+,NC_002516.2,0,0,0
689,NP_249380.1,hypothetical protein,PA0689,,748662,749774,+,NC_002516.2,0,0,0
690,NP_249381.1,hypothetical protein,PA0690,,749957,762499,+,NC_002516.2,0,0,0
691,NP_249382.1,hypothetical protein,PA0691,,762891,763493,+,NC_002516.2,0,0,0
692,NP_249383.1,hypothetical protein,PA0692,,763657,765291,+,NC_002516.2,0,0,0
693,NP_249384.1,transporter ExbB,PA0693,exbB2,765315,767162,+,NC_002516.2,0,0,0
694,NP_249385.1,transporter ExbD,PA0694,exbD2,767173,767592,+,NC_002516.2,0,0,0
695,NP_249386.1,hypothetical protein,PA0695,,767601,768347,+,NC_002516.2,0,0,0
696,NP_249387.1,hypothetical protein,PA0696,,768415,770121,+,NC_002516.2,0,0,0
697,NP_249388.1,hypothetical protein,PA0697,,770156,770818,+,NC_002516.2,0,0,0
698,NP_249389.1,hypothetical protein,PA0698,,770847,771326,+,NC_002516.2,0,0,0
699,NP_249390.1,PpiC-type peptidyl-prolyl cis-trans isomerase,PA0699,,771331,772275,+,NC_002516.2,0,0,0
700,NP_249391.1,hypothetical protein,PA0700,,772275,772700,+,NC_002516.2,0,0,0
701,NP_249392.1,transcriptional regulator,PA0701,,772710,773696,+,NC_002516.2,0,0,0
702,YP_008719734.1,AraC family transcriptional regulator,PA0701a,,773768,774433,+,NC_002516.2,0,0,0
703,NP_249393.1,hypothetical protein,PA0702,,774416,775321,-,NC_002516.2,0,0,0
704,NP_249394.1,major facilitator superfamily transporter,PA0703,,775400,776716,-,NC_002516.2,0,0,0
705,NP_249395.1,amidase,PA0704,,776787,778181,-,NC_002516.2,0,0,0
706,NP_249396.1,"alpha-1,6-rhamnosyltransferase MigA",PA0705,migA,778309,779208,-,NC_002516.2,0,0,0
707,NP_249397.1,chloramphenicol acetyltransferase,PA0706,cat,779463,780101,-,NC_002516.2,0,0,0
708,NP_249398.1,transcriptional regulator ToxR,PA0707,toxR,780194,780973,-,NC_002516.2,0,0,0
709,NP_249399.1,transcriptional regulator,PA0708,,781259,782113,-,NC_002516.2,0,0,0
710,NP_249400.1,hypothetical protein,PA0709,,782229,782525,+,NC_002516.2,0,0,0
711,NP_249401.1,lactoylglutathione lyase,PA0710,gloA2,782570,782965,+,NC_002516.2,0,0,0
712,NP_249402.1,hypothetical protein,PA0711,,783009,783515,-,NC_002516.2,0,0,0
713,NP_249403.1,hypothetical protein,PA0712,,783576,783833,-,NC_002516.2,0,0,0
714,NP_249404.1,hypothetical protein,PA0713,,784173,784466,+,NC_002516.2,0,0,0
715,NP_249405.1,hypothetical protein,PA0714,,784698,785174,+,NC_002516.2,0,0,0
716,NP_249406.1,hypothetical protein,PA0715,,785969,786925,+,NC_002516.2,0,0,0
717,NP_249407.1,hypothetical protein,PA0716,,786928,788253,+,NC_002516.2,0,0,0
718,NP_249409.1,hypothetical protein,PA0718,,789360,789650,+,NC_002516.2,0,0,0
719,NP_249410.1,hypothetical protein,PA0719,,789654,790031,+,NC_002516.2,0,0,0
720,NP_249411.1,helix destabilizing protein of bacteriophage Pf1,PA0720,,790166,790600,+,NC_002516.2,0,1,1
721,NP_249412.1,hypothetical protein,PA0721,,790617,790709,+,NC_002516.2,0,0,0
722,NP_249413.1,hypothetical protein,PA0722,,790722,790973,+,NC_002516.2,0,0,0
723,NP_249414.1,phage coat protein B,PA0723,coaB,790986,791234,+,NC_002516.2,0,0,0
724,NP_249415.1,phage coat protein A,PA0724,,791370,792632,+,NC_002516.2,0,0,0
725,NP_249416.1,hypothetical protein,PA0725,,792637,792993,+,NC_002516.2,0,0,0
726,NP_249417.1,hypothetical protein,PA0726,,792997,794271,+,NC_002516.2,0,0,0
727,NP_249418.1,hypothetical protein,PA0727,,794501,795793,+,NC_002516.2,0,1,1
728,NP_249419.1,bacteriophage integrase,PA0728,,795793,796776,+,NC_002516.2,0,0,0
729,NP_249420.1,hypothetical protein,PA0729,,797251,797598,+,NC_002516.2,0,0,0
730,NP_249421.1,(R)-3-hydroxydecanoyl-ACP:CoA transacylase,PA0730,,797925,798827,-,NC_002516.2,0,0,0
731,NP_249422.1,hypothetical protein,PA0731,,799279,800016,-,NC_002516.2,0,0,0
732,NP_249423.1,hypothetical protein,PA0732,,800096,801139,-,NC_002516.2,0,0,0
733,NP_249424.1,16S rRNA pseudouridine(516) synthase,PA0733,,801275,801967,-,NC_002516.2,0,0,0
734,NP_249425.1,hypothetical protein,PA0734,,801967,802239,-,NC_002516.2,0,0,0
735,NP_249426.1,hypothetical protein,PA0735,,802260,803075,-,NC_002516.2,0,0,0
736,NP_249427.1,hypothetical protein,PA0736,,803072,804148,-,NC_002516.2,0,0,0
737,YP_008719735.1,hypothetical protein,PA0736a,,804381,804560,+,NC_002516.2,0,0,0
738,NP_249428.1,hypothetical protein,PA0737,,804656,805111,+,NC_002516.2,0,0,0
739,NP_249429.1,hypothetical protein,PA0738,,805228,805473,+,NC_002516.2,0,0,0
740,NP_249430.1,transcriptional regulator,PA0739,,805788,806702,-,NC_002516.2,0,0,0
741,NP_249431.1,SDS hydrolase SdsA1,PA0740,sdsA1,806805,808781,+,NC_002516.2,0,0,0
742,NP_249432.1,hypothetical protein,PA0741,,808816,809457,-,NC_002516.2,0,0,0
743,NP_249433.2,hypothetical protein,PA0742,,809574,810218,-,NC_002516.2,0,0,0
744,NP_249434.1,NAD-dependent L-serine dehydrogenase,PA0743,,810275,811171,-,NC_002516.2,0,0,0
745,NP_249435.1,enoyl-CoA hydratase,PA0744,,811283,812386,-,NC_002516.2,0,0,0
746,NP_249436.1,enoyl-CoA hydratase,PA0745,,812445,813263,-,NC_002516.2,0,0,0
747,NP_249437.1,acyl-CoA dehydrogenase,PA0746,,813329,814492,-,NC_002516.2,0,0,0
748,NP_249438.1,aldehyde dehydrogenase,PA0747,,814504,816012,-,NC_002516.2,0,0,0
749,NP_249440.1,hypothetical protein,PA0749,,817082,817903,+,NC_002516.2,0,0,0
750,NP_249441.1,uracil-DNA glycosylase,PA0750,ung,818003,818698,+,NC_002516.2,0,0,0
751,NP_249442.1,hypothetical protein,PA0751,,818825,819862,-,NC_002516.2,0,0,0
752,NP_249443.1,hypothetical protein,PA0752,,819855,821372,-,NC_002516.2,0,0,0
753,NP_249444.1,hypothetical protein,PA0753,,821383,821853,-,NC_002516.2,0,0,0
754,NP_249445.1,hypothetical protein,PA0754,,821902,822885,-,NC_002516.2,0,0,0
755,NP_249446.1,cis-aconitate porin OpdH,PA0755,opdH,822915,824198,-,NC_002516.2,0,0,0
756,NP_249447.1,two-component response regulator,PA0756,,824409,825080,+,NC_002516.2,0,0,0
757,NP_249448.1,two-component sensor,PA0757,,825073,826455,+,NC_002516.2,0,0,0
758,NP_249449.1,hypothetical protein,PA0758,,826463,827299,-,NC_002516.2,0,0,0
759,NP_249450.1,hypothetical protein,PA0759,,827400,828344,-,NC_002516.2,0,0,0
760,NP_249451.1,hypothetical protein,PA0760,,828617,828871,+,NC_002516.2,0,0,0
761,NP_249452.1,L-aspartate oxidase,PA0761,nadB,829276,830892,-,NC_002516.2,0,0,0
762,NP_249453.1,RNA polymerase sigma factor AlgU,PA0762,algU,831301,831882,+,NC_002516.2,0,0,0
763,NP_249454.1,sigma factor AlgU negative regulator MucA,PA0763,mucA,831914,832498,+,NC_002516.2,0,0,0
764,NP_249455.1,sigma factor AlgU regulator MucB,PA0764,mucB,832507,833457,+,NC_002516.2,0,0,0
765,NP_249456.1,positive regulator for alginate biosynthesis MucC,PA0765,mucC,833454,833909,+,NC_002516.2,0,0,0
766,NP_249457.1,serine protease MucD,PA0766,mucD,833949,835373,+,NC_002516.2,0,0,0
767,NP_249458.1,elongation factor 4,PA0767,lepA,835523,837322,+,NC_002516.2,0,0,0
768,NP_249459.1,signal peptidase I,PA0768,lepB,837328,838182,+,NC_002516.2,0,0,0
769,NP_249460.1,hypothetical protein,PA0769,,838351,838728,+,NC_002516.2,0,0,0
770,NP_249461.1,ribonuclease III,PA0770,rnc,838725,839414,+,NC_002516.2,0,0,0
771,NP_249462.1,GTPase Era,PA0771,era,839407,840324,+,NC_002516.2,0,0,0
772,NP_249463.1,DNA repair protein RecO,PA0772,recO,840385,841086,+,NC_002516.2,0,0,0
773,NP_249464.1,pyridoxine 5'-phosphate synthase,PA0773,pdxJ,841079,841825,+,NC_002516.2,0,0,0
774,NP_249465.1,tRNA (mo5U34)-methyltransferase,PA0774,,841913,842881,-,NC_002516.2,0,0,0
775,NP_249466.1,tRNA (cmo5U34)-methyltransferase,PA0775,,842878,843618,-,NC_002516.2,0,0,0
776,NP_249467.1,hypothetical protein,PA0776,,843723,844295,-,NC_002516.2,0,0,0
777,NP_249468.1,hypothetical protein,PA0777,,844427,845179,-,NC_002516.2,0,0,0
778,NP_249469.1,inhibitor of cysteine peptidase,PA0778,icp,845278,845682,-,NC_002516.2,0,0,0
779,NP_249470.1,ATP-dependent protease,PA0779,,845793,848192,-,NC_002516.2,0,0,0
780,NP_249471.1,proline utilization regulator,PA0780,pruR,848383,849135,+,NC_002516.2,0,0,0
781,NP_249472.1,hypothetical protein,PA0781,,849256,851319,-,NC_002516.2,0,0,0
782,NP_249473.1,bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase,PA0782,putA,851783,854965,+,NC_002516.2,0,0,0
783,NP_249474.1,sodium/proline symporter PutP,PA0783,putP,855277,856797,+,NC_002516.2,0,0,0
784,NP_249475.1,transcriptional regulator,PA0784,,856942,857871,-,NC_002516.2,0,0,0
785,NP_249476.1,FMN-dependent NADH-azoreductase AzoR,PA0785,azoR1,857998,858636,+,NC_002516.2,0,0,0
786,NP_249477.1,transporter,PA0786,,858646,858951,+,NC_002516.2,0,0,0
787,NP_249478.1,hypothetical protein,PA0787,,859007,860170,+,NC_002516.2,0,0,0
788,NP_249479.1,hypothetical protein,PA0788,,860175,863300,-,NC_002516.2,0,0,0
789,YP_008719736.1,hypothetical protein,PA0788a,,863455,863664,+,NC_002516.2,0,0,0
790,NP_249480.1,amino acid permease,PA0789,,864095,865510,+,NC_002516.2,0,0,0
791,NP_249481.1,hypothetical protein,PA0790,,865636,866451,-,NC_002516.2,0,0,0
792,NP_249482.1,transcriptional regulator,PA0791,,866558,867346,+,NC_002516.2,0,0,0
793,NP_249483.1,2-methylcitrate dehydratase,PA0792,prpD,867324,868808,-,NC_002516.2,0,0,0
794,NP_249484.1,hypothetical protein,PA0793,,868943,870130,-,NC_002516.2,0,0,0
795,NP_249485.1,aconitate hydratase,PA0794,,870249,872855,-,NC_002516.2,0,0,0
796,NP_249486.1,methylcitrate synthase,PA0795,prpC,872986,874113,-,NC_002516.2,0,0,0
797,NP_249487.1,2-methylisocitrate lyase,PA0796,prpB,874206,875102,-,NC_002516.2,0,0,0
798,NP_249488.1,transcriptional regulator,PA0797,,875113,875835,-,NC_002516.2,0,0,0
799,NP_249489.1,phospholipid methyltransferase,PA0798,pmtA,875953,876603,+,NC_002516.2,0,0,0
800,NP_249490.1,helicase,PA0799,,876617,878608,-,NC_002516.2,0,0,0
801,NP_249491.1,hypothetical protein,PA0800,,879027,879560,+,NC_002516.2,0,0,0
802,NP_249492.1,hypothetical protein,PA0801,,879557,881077,+,NC_002516.2,0,0,0
803,NP_249493.1,hypothetical protein,PA0802,,881077,881400,+,NC_002516.2,0,0,0
804,NP_249494.1,hypothetical protein,PA0803,,881486,881926,+,NC_002516.2,0,0,0
805,NP_249495.1,oxidoreductase,PA0804,,881958,882779,+,NC_002516.2,0,0,0
806,NP_249496.1,hypothetical protein,PA0805,,882989,883216,-,NC_002516.2,0,0,0
807,NP_249497.1,hypothetical protein,PA0806,,883777,884172,+,NC_002516.2,0,0,0
808,NP_249498.1,protein AmpDh3,PA0807,ampDh3,884799,885566,+,NC_002516.2,1,0,0
809,NP_249499.1,hypothetical protein,PA0808,,885635,886108,+,NC_002516.2,0,0,0
810,NP_249500.1,divalent metal cation transporter MntH,PA0809,,886160,887476,-,NC_002516.2,0,0,0
811,NP_249501.1,haloacid dehalogenase,PA0810,,887583,888284,-,NC_002516.2,0,0,0
812,NP_249502.1,major facilitator superfamily transporter,PA0811,,888315,889562,-,NC_002516.2,0,0,0
813,NP_249503.1,hypothetical protein,PA0812,,889559,890854,-,NC_002516.2,0,0,0
814,NP_249504.1,hypothetical protein,PA0813,,891142,892389,-,NC_002516.2,0,0,0
815,NP_249505.1,hypothetical protein,PA0814,,892386,892820,-,NC_002516.2,0,0,0
816,NP_249506.1,transcriptional regulator,PA0815,,893041,893994,+,NC_002516.2,0,0,0
817,NP_249507.1,transcriptional regulator,PA0816,,893967,894851,-,NC_002516.2,0,0,0
818,NP_249508.1,ring-cleaving dioxygenase,PA0817,,894952,895377,+,NC_002516.2,0,0,0
819,NP_249509.1,hypothetical protein,PA0818,,895396,895668,-,NC_002516.2,0,0,0
820,NP_249510.1,hypothetical protein,PA0819,,895824,896117,+,NC_002516.2,0,0,0
821,NP_249511.1,hypothetical protein,PA0820,,896416,897228,+,NC_002516.2,0,0,0
822,NP_249512.1,hypothetical protein,PA0821,,897335,898423,-,NC_002516.2,0,0,0
823,NP_249514.1,hypothetical protein,PA0823,,898908,899141,-,NC_002516.2,0,0,0
824,NP_249515.1,hypothetical protein,PA0824,,899138,899656,-,NC_002516.2,1,1,1
825,NP_249516.1,hypothetical protein,PA0825,,899830,900165,-,NC_002516.2,0,0,0
