assembly,TXSS/T1SS,TXSS/T2SS,TXSS/T3SS,TXSS/T4SS,TXSS/T6SS,Genome Name,Phylum,Class,Order,Family,Genus,Species,Assembly Accession,CDS
GCA_000014805,2,1,0,0,1,Aeromonas hydrophila subsp. hydrophila ATCC 7966,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,GCA_000014805.1,4235
GCA_000014825,3,0,0,1,0,Rhodopseudomonas palustris BisA53,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,GCA_000014825.1,4997
GCA_000014865,4,0,0,0,0,Magnetococcus marinus MC-1,Proteobacteria,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus,GCA_000014865.1,3843
GCA_000014885,5,1,0,0,0,Shewanella piezotolerans WP3,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella piezotolerans,GCA_000014885.1,4750
GCA_000014905,0,0,0,0,1,Candidatus Solibacter usitatus Ellin6076,Acidobacteria,Acidobacteriia,Bryobacterales,Solibacteraceae,Candidatus Solibacter,Candidatus Solibacter usitatus,GCA_000014905.1,8295
GCA_000015045,1,0,0,0,0,Pelobacter propionicus DSM 2379,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter propionicus,GCA_000015045.1,3740
GCA_000015085,1,0,0,0,0,Campylobacter fetus subsp. fetus 82-40,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,GCA_000015085.1,1768
GCA_000015105,1,0,0,0,0,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),Proteobacteria,Gammaproteobacteria,,,Candidatus Ruthia,Candidatus Ruthia magnifica,GCA_000015105.1,1193
GCA_000015165,4,0,0,5,0,Bradyrhizobium sp. BTAi1,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium sp. BTAi1,GCA_000015165.1,7808
GCA_000015185,0,1,0,0,0,Shewanella sp. W3-18-1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. W3-18-1,GCA_000015185.1,4287
GCA_000015245,1,1,0,0,0,Shewanella amazonensis SB2B,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella amazonensis,GCA_000015245.1,3770
GCA_000015285,1,1,0,0,0,Psychromonas ingrahamii 37,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas ingrahamii,GCA_000015285.1,4122
GCA_000015325,0,1,1,1,1,Acidovorax citrulli AAC00-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax citrulli,GCA_000015325.1,4884
GCA_000015345,1,0,0,0,0,Dichelobacter nodosus VCS1703A,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Dichelobacter,Dichelobacter nodosus,GCA_000015345.1,1342
GCA_000015365,0,1,0,0,1,Marinobacter aquaeolei VT8,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter nauticus,GCA_000015365.1,4330
GCA_000015425,2,1,0,0,0,Acinetobacter baumannii ATCC 17978,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,GCA_000015425.1,3490
GCA_000015465,1,1,0,0,3,Burkholderia mallei SAVP1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia mallei,GCA_000015465.1,5095
GCA_000015505,0,1,0,2,0,Polaromonas naphthalenivorans CJ2,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas naphthalenivorans,GCA_000015505.1,5026
GCA_000015545,1,1,0,2,0,Acidovorax sp. JS42,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JS42,GCA_000015545.1,4392
GCA_000015565,2,1,0,2,0,Verminephrobacter eiseniae EF01-2,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,Verminephrobacter eiseniae,GCA_000015565.1,5393
GCA_000015585,0,1,0,0,0,Halorhodospira halophila SL1,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,Halorhodospira halophila,GCA_000015585.1,2414
GCA_000015645,1,0,0,0,0,Prochlorococcus marinus str. AS9601,Cyanobacteria,,Synechococcales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus,GCA_000015645.1,1936
GCA_000015725,2,1,0,0,0,Methylibium petroleiphilum PM1,Proteobacteria,Betaproteobacteria,Burkholderiales,,Methylibium,Methylibium petroleiphilum,GCA_000015725.1,4540
GCA_000015845,2,1,1,0,0,Shewanella baltica OS155,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica,GCA_000015845.1,4816
GCA_000015885,1,0,0,0,0,Actinobacillus pleuropneumoniae serovar 5b str. L20,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,GCA_000015885.1,2129
GCA_000016065,2,1,0,0,0,Shewanella loihica PV-4,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella loihica,GCA_000016065.1,3864
GCA_000016085,1,0,0,0,0,Chlorobium phaeovibrioides DSM 265,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeovibrioides,GCA_000016085.1,1865
GCA_000016185,2,0,0,0,0,Rhodospirillum centenum SW,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum centenum,GCA_000016185.1,4020
GCA_000016205,0,1,1,2,1,Burkholderia vietnamiensis G4,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,GCA_000016205.1,7587
GCA_000016265,4,0,1,3,0,Agrobacterium radiobacter K84,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,GCA_000016265.1,6877
GCA_000016285,3,0,0,5,0,Agrobacterium vitis S4,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium vitis,GCA_000016285.1,5861
GCA_000016305,2,1,0,0,1,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,GCA_000016305.1,5269
GCA_000016325,1,0,0,0,0,Enterobacter sp. 638,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter sp. 638,GCA_000016325.1,4318
GCA_000016405,0,0,0,1,0,Rhodobacter sphaeroides ATCC 17025,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides,GCA_000016405.1,4541
GCA_000016445,3,0,2,0,4,Yersinia pestis Pestoides F,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,GCA_000016445.1,4855
GCA_000016565,2,1,0,0,2,Pseudomonas mendocina ymp,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mendocina,GCA_000016565.1,4688
GCA_000016585,1,1,0,0,0,Shewanella putrefaciens CN-32,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,GCA_000016585.1,4170
GCA_000016625,1,0,0,0,0,Rickettsia massiliae MTU5,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia massiliae,GCA_000016625.1,1721
GCA_000016645,3,0,0,0,1,Flavobacterium johnsoniae UW101,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium johnsoniae,GCA_000016645.1,5235
GCA_000016725,1,0,0,1,1,Acidiphilium cryptum JF-5,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium cryptum,GCA_000016725.1,3627
GCA_000016745,1,0,0,0,0,Geobacter uraniireducens Rf4,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geotalea,Geotalea uraniireducens,GCA_000016745.1,4714
GCA_000016765,1,1,0,3,0,Sphingomonas wittichii RW1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,Rhizorhabdus wittichii,GCA_000016765.1,5470
GCA_000016845,0,0,0,1,0,Brucella ovis ATCC 25840,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella ovis,GCA_000016845.1,3543
GCA_000016885,1,0,0,0,0,Psychrobacter sp. PRwf-1,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. PRwf-1,GCA_000016885.1,2512
GCA_000017145,3,0,0,3,0,Sinorhizobium medicae WSM419,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium medicae,GCA_000017145.1,6826
GCA_000017265,1,1,0,3,0,Phenylobacterium zucineum HLK1,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium zucineum,GCA_000017265.1,4290
GCA_000017285,2,0,0,0,1,Marinomonas sp. MWYL1,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas sp. MWYL1,GCA_000017285.1,4654
GCA_000017325,1,1,0,0,0,Shewanella baltica OS185,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica,GCA_000017325.1,4673
GCA_000017405,3,0,0,3,0,Ochrobactrum anthropi ATCC 49188,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella anthropi,GCA_000017405.1,5025
GCA_000017445,1,0,0,0,0,Rickettsia rickettsii str. Iowa,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia rickettsii,GCA_000017445.3,1595
GCA_000017465,1,0,0,0,0,Campylobacter curvus 525.92,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter curvus,GCA_000017465.1,2035
GCA_000017505,1,0,1,0,0,Anaeromyxobacter sp. Fw109-5,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter sp. Fw109-5,GCA_000017505.1,4712
GCA_000017565,1,0,0,3,0,Parvibaculum lavamentivorans DS-1,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Parvibaculum,Parvibaculum lavamentivorans,GCA_000017565.1,3768
GCA_000017585,1,0,0,1,0,Campylobacter hominis ATCC BAA-381,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter hominis,GCA_000017585.1,1710
GCA_000017645,1,0,0,7,0,Xanthobacter autotrophicus Py2,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter,Xanthobacter autotrophicus,GCA_000017645.1,5150
GCA_000017665,0,0,0,1,1,Cronobacter sakazakii ATCC BAA-894,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii,GCA_000017665.1,4069
GCA_000017725,1,0,0,0,0,Campylobacter concisus 13826,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus,GCA_000017725.1,2086
GCA_000017845,3,0,0,0,0,Cyanothece sp. ATCC 51142,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera subtropica,GCA_000017845.1,5159
GCA_000018025,1,1,0,0,0,Shewanella sediminis HAW-EB3,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sediminis,GCA_000018025.1,4793
GCA_000018045,0,1,0,1,0,Citrobacter koseri ATCC BAA-895,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter koseri,GCA_000018045.1,4311
GCA_000018085,2,1,0,0,2,Serratia proteamaculans 568,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia proteamaculans,GCA_000018085.1,4965
GCA_000018105,3,0,0,0,0,Acaryochloris marina MBIC11017,Cyanobacteria,,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,GCA_000018105.1,7710
GCA_000018145,2,0,0,2,0,Dinoroseobacter shibae DFL 12,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Dinoroseobacter,Dinoroseobacter shibae,GCA_000018145.1,4366
GCA_000018205,1,0,0,0,0,Rickettsia akari str. Hartford,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia akari,GCA_000018205.1,1437
GCA_000018285,2,1,0,0,0,Shewanella pealeana ATCC 700345,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella pealeana,GCA_000018285.1,4458
GCA_000018505,2,1,1,1,2,Burkholderia multivorans ATCC 17616,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia multivorans,GCA_000018505.1,6489
GCA_000018525,0,0,0,1,0,Brucella canis ATCC 23365,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella canis,GCA_000018525.1,3435
GCA_000018545,2,0,2,2,0,Sinorhizobium fredii NGR234,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii,GCA_000018545.1,6570
GCA_000018625,3,0,2,0,2,"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980",Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,GCA_000018625.1,4452
GCA_000018665,2,1,0,2,1,Delftia acidovorans SPH-1,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans,GCA_000018665.1,6130
GCA_000018845,4,0,0,0,0,Methylobacterium extorquens PA1,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum extorquens,GCA_000018845.1,4970
GCA_000019145,2,0,0,5,0,Caulobacter sp. K31,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter sp. K31,GCA_000019145.1,5500
GCA_000019185,1,1,0,0,0,Shewanella halifaxensis HAW-EB4,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella halifaxensis,GCA_000019185.1,4515
GCA_000019205,0,0,0,1,0,Campylobacter lari RM2100,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari,GCA_000019205.1,1596
GCA_000019225,4,1,0,0,0,Cellvibrio japonicus Ueda107,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio japonicus,GCA_000019225.1,3774
GCA_000019285,0,0,0,0,1,Francisella philomiragia subsp. philomiragia ATCC 25017,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella philomiragia,GCA_000019285.1,1979
GCA_000019365,6,0,0,0,0,Methylobacterium sp. 4-46,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp. 4-46,GCA_000019365.1,6887
GCA_000019525,2,1,0,0,1,Shewanella woodyi ATCC 51908,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella woodyi,GCA_000019525.1,5080
GCA_000019725,1,0,0,1,0,Methylobacterium radiotolerans JCM 2831,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium radiotolerans,GCA_000019725.1,6462
GCA_000019785,3,1,0,1,1,Leptothrix cholodnii SP-6,Proteobacteria,Betaproteobacteria,Burkholderiales,,Leptothrix,Leptothrix cholodnii,GCA_000019785.1,4433
GCA_000019945,4,0,0,1,0,Methylobacterium populi BJ001,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum populi,GCA_000019945.1,5468
GCA_000020025,4,0,0,0,0,Nostoc punctiforme PCC 73102,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc punctiforme,GCA_000020025.1,8615
GCA_000020045,2,1,0,1,2,Burkholderia phymatum STM815,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phymatum,GCA_000020045.1,8063
GCA_000020085,3,0,2,0,4,Yersinia pseudotuberculosis PB1/+,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,GCA_000020085.1,4638
GCA_000020125,1,1,1,3,2,Burkholderia phytofirmans PsJN,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phytofirmans,GCA_000020125.1,8038
GCA_000020205,0,1,0,3,0,Ralstonia pickettii 12J,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii,GCA_000020205.1,4975
GCA_000020385,0,1,0,0,0,Geobacter lovleyi SZ,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Trichlorobacter,Trichlorobacter lovleyi,GCA_000020385.1,3631
GCA_000020465,1,0,0,0,0,Chlorobium limicola DSM 245,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium limicola,GCA_000020465.1,2714
GCA_000020545,1,0,0,0,0,Chlorobium phaeobacteroides BS1,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeobacteroides,GCA_000020545.1,2782
GCA_000020625,1,0,0,2,0,Prosthecochloris aestuarii DSM 271,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris,Prosthecochloris aestuarii,GCA_000020625.1,2545
GCA_000020725,0,1,0,0,0,Geobacter bemidjiensis Bem,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Citrifermentans,Citrifermentans bemidjiense,GCA_000020725.1,3969
GCA_000020805,0,0,1,0,0,Anaeromyxobacter sp. K,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter sp. K,GCA_000020805.1,4505
GCA_000020825,2,0,0,1,0,Acidithiobacillus ferrooxidans ATCC 53993,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,GCA_000020825.1,2872
GCA_000020865,0,0,0,1,1,Edwardsiella tarda EIB202,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella tarda,GCA_000020865.1,3325
GCA_000021025,2,0,0,0,0,Laribacter hongkongensis HLHK9,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,Laribacter hongkongensis,GCA_000021025.1,2979
GCA_000021045,1,0,0,1,1,Azotobacter vinelandii DJ,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter vinelandii,GCA_000021045.1,4953
GCA_000021325,2,0,0,3,0,Gluconacetobacter diazotrophicus PAl 5 (Prj:21071),Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter diazotrophicus,GCA_000021325.1,3556
GCA_000021365,1,0,0,4,0,Oligotropha carboxidovorans OM5,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,Afipia carboxidovorans,GCA_000021365.1,3611
GCA_000021385,1,0,1,0,0,Desulfovibrio vulgaris str. 'Miyazaki F',Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio vulgaris,GCA_000021385.1,3474
GCA_000021485,2,0,0,0,0,Acidithiobacillus ferrooxidans ATCC 23270,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,GCA_000021485.1,3015
GCA_000021525,1,0,0,0,0,Rickettsia peacockii str. Rustic,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia peacockii,GCA_000021525.1,1558
GCA_000021665,1,1,0,0,0,Shewanella baltica OS223,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica,GCA_000021665.1,4666
GCA_000021705,1,1,2,2,0,Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum),Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Hamiltonella,Candidatus Hamiltonella defensa,GCA_000021705.1,2392
GCA_000021745,0,0,0,0,1,Methylocella silvestris BL2,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocella,Methylocella silvestris,GCA_000021745.1,4201
GCA_000021765,0,1,0,0,0,Thauera sp. MZ1T,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera sp. MZ1T,GCA_000021765.1,4077
GCA_000021805,3,0,0,0,0,Cyanothece sp. PCC 8801,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Aphanothecaceae,Rippkaea,Rippkaea orientalis,GCA_000021805.1,4651
GCA_000021845,4,0,0,1,0,Methylobacterium extorquens CM4,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum extorquens,GCA_000021845.1,5681
GCA_000021985,0,1,0,1,0,Thioalkalivibrio sulfidophilus HL-EbGr7,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio sulfidiphilus,GCA_000021985.1,3279
GCA_000022005,2,1,0,1,0,Caulobacter crescentus NA1000,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides,GCA_000022005.1,3784
GCA_000022085,4,0,0,0,0,Methylobacterium nodulans ORS 2060,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium nodulans,GCA_000022085.1,8194
GCA_000022125,1,0,0,0,0,Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio desulfuricans,GCA_000022125.1,2781
GCA_000022145,0,0,1,1,0,Anaeromyxobacter dehalogenans 2CP-1,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans,GCA_000022145.1,4541
GCA_000022165,2,0,2,0,1,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,GCA_000022165.1,4993
GCA_000022265,1,0,0,0,0,Geobacter daltonii FRC-32,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geotalea,Geotalea daltonii,GCA_000022265.1,3968
GCA_000022305,0,1,0,2,0,Acidovorax ebreus TPSY,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,[Acidovorax] ebreus,GCA_000022305.1,3592
GCA_000022525,0,0,0,1,0,Neorickettsia risticii str. Illinois,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia,Neorickettsia risticii,GCA_000022525.1,869
GCA_000022565,0,0,0,3,0,Acidobacterium capsulatum ATCC 51196,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum,GCA_000022565.1,3395
GCA_000022645,1,1,1,0,4,Burkholderia glumae BGR1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia glumae,GCA_000022645.2,6491
GCA_000022685,3,0,0,0,0,Methylobacterium extorquens AM1,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum extorquens,GCA_000022685.1,6453
GCA_000022725,0,0,0,4,0,Bartonella grahamii as4aup,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella grahamii,GCA_000022725.1,2253
GCA_000022745,0,0,0,1,0,Brucella microti CCM 4915,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella microti,GCA_000022745.1,3410
GCA_000022885,1,0,0,0,1,Edwardsiella ictaluri 93-146,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella ictaluri,GCA_000022885.2,3504
GCA_000022985,0,0,0,0,1,Aggregatibacter aphrophilus NJ8700,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,GCA_000022985.1,2226
GCA_000023005,1,0,0,0,0,Rickettsia africae ESF-5,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia africae,GCA_000023005.1,1545
GCA_000023025,0,1,0,0,1,Teredinibacter turnerae T7901,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter,Teredinibacter turnerae,GCA_000023025.1,4420
GCA_000023065,1,1,0,0,1,Tolumonas auensis DSM 9187,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,Tolumonas auensis,GCA_000023065.1,3160
GCA_000023125,2,0,0,0,1,Dyadobacter fermentans DSM 18053,Bacteroidetes,Cytophagia,Cytophagales,Spirosomaceae,Dyadobacter,Dyadobacter fermentans,GCA_000023125.1,5956
GCA_000023225,2,0,0,0,0,Desulfomicrobium baculatum DSM 4028,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium baculatum,GCA_000023225.1,3546
GCA_000023345,3,1,0,1,2,Variovorax paradoxus S110,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus,GCA_000023345.1,6343
GCA_000023445,3,0,0,1,0,Desulfovibrio salexigens DSM 2638,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Maridesulfovibrio,Maridesulfovibrio salexigens,GCA_000023445.1,3851
GCA_000023465,1,0,0,0,0,Zunongwangia profunda SM-A87,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zunongwangia,Zunongwangia profunda,GCA_000023465.1,4560
