id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,"DeepSecE(0.6)",T4SEfinder
656,WP_025862515.1,alpha/beta fold hydrolase,LPG_RS03370,,730882,732093,+,NC_002942.5,0,0,0,0
657,WP_010946418.1,HlyD family efflux transporter periplasmic adaptor subunit,LPG_RS03375,,732160,732732,+,NC_002942.5,0,0,0,0
658,WP_025862517.1,ABC transporter ATP-binding protein,LPG_RS03380,,732725,733651,+,NC_002942.5,0,0,0,0
659,WP_223804303.1,ABC transporter permease,LPG_RS03385,,733648,734784,+,NC_002942.5,0,0,0,0
660,WP_010946421.1,IS4 family transposase,LPG_RS03390,,734908,736314,+,NC_002942.5,0,0,0,1
661,WP_010946422.1,30S ribosomal protein S12 methylthiotransferase RimO,LPG_RS03395,rimO,736392,737699,-,NC_002942.5,0,0,0,0
662,WP_025862442.1,protein-disulfide reductase DsbD,LPG_RS03400,dsbD,737789,739549,-,NC_002942.5,0,0,0,0
663,WP_010946424.1,co-chaperone GroES,LPG_RS03405,groES,739735,740025,+,NC_002942.5,0,0,0,0
664,WP_197535493.1,chaperonin GroEL,LPG_RS03410,groL,740050,741699,+,NC_002942.5,0,0,0,0
665,WP_010946426.1,DNA starvation/stationary phase protection protein,LPG_RS03415,,741822,742262,+,NC_002942.5,0,0,0,0
666,WP_025862443.1,fused MFS/spermidine synthase,LPG_RS03420,,742519,744636,+,NC_002942.5,0,0,0,0
667,WP_010946428.1,DNA topoisomerase IV subunit B,LPG_RS03425,parE,744892,746772,-,NC_002942.5,0,0,0,0
668,WP_025862444.1,dipeptide ABC transporter ATP-binding protein,LPG_RS03430,,746906,748714,+,NC_002942.5,0,0,0,0
669,WP_010946430.1,hypothetical protein,LPG_RS03435,,748803,753083,+,NC_002942.5,0,1,1,1
670,WP_010946431.1,proline--tRNA ligase,LPG_RS03440,,753445,755154,-,NC_002942.5,0,0,0,0
671,WP_010946432.1,Dot/Icm T4SS effector AnkX,LPG_RS03445,ankN,755316,758165,+,NC_002942.5,1,1,1,1
672,WP_010946433.1,T4SS effector phosphocholine hydrolase Lem3,LPG_RS03450,lem3,758172,759884,-,NC_002942.5,1,1,1,1
673,WP_010946434.1,SulP family inorganic anion transporter,LPG_RS03455,,759971,762277,-,NC_002942.5,0,0,0,0
674,WP_010946435.1,tRNA 2-thiocytidine(32) synthetase TtcA,LPG_RS03460,ttcA,762468,763319,-,NC_002942.5,0,0,0,0
675,WP_010946436.1,TolC family outer membrane protein,LPG_RS03465,,763337,764704,-,NC_002942.5,0,0,0,0
676,WP_025862446.1,methyltransferase domain-containing protein,LPG_RS03470,,764716,765366,-,NC_002942.5,0,0,0,0
677,WP_010946438.1,glycine C-acetyltransferase,LPG_RS03475,,765547,766731,+,NC_002942.5,0,0,0,0
678,WP_014843524.1,L-threonine 3-dehydrogenase,LPG_RS03480,tdh,766819,767841,+,NC_002942.5,0,0,0,0
679,WP_010946440.1,energy-dependent translational throttle protein EttA,LPG_RS03485,ettA,767884,769557,+,NC_002942.5,0,0,0,0
680,WP_010946441.1,"L,D-transpeptidase",LPG_RS03490,,769599,770210,+,NC_002942.5,0,0,0,0
681,WP_010946442.1,YeeE/YedE family protein,LPG_RS03495,,770320,770757,+,NC_002942.5,0,0,0,0
682,WP_025862447.1,transporter,LPG_RS03500,,770757,771182,+,NC_002942.5,0,0,0,0
683,WP_010946444.1,outer membrane protein transport protein,LPG_RS03505,,771222,772394,-,NC_002942.5,0,0,0,0
684,WP_010946445.1,DotI/IcmL family type IV secretion protein,LPG_RS03510,,772451,773413,-,NC_002942.5,0,0,0,0
685,WP_025862448.1,formimidoylglutamase,LPG_RS03515,hutG,773426,774385,-,NC_002942.5,0,0,0,0
686,WP_010946447.1,SDR family NAD(P)-dependent oxidoreductase,LPG_RS03520,,774672,775481,+,NC_002942.5,0,0,0,0
687,WP_027223834.1,imidazolonepropionase,LPG_RS03525,hutI,775481,776692,+,NC_002942.5,0,0,0,0
688,WP_010946449.1,DUF3298 and DUF4163 domain-containing protein,LPG_RS03530,,776719,777414,+,NC_002942.5,0,0,0,0
689,WP_010946450.1,"oligopeptide transporter, OPT family",LPG_RS03535,,777414,779414,+,NC_002942.5,0,0,0,0
690,WP_025862449.1,ATP-binding protein,LPG_RS03540,,779576,780649,-,NC_002942.5,0,0,0,0
691,WP_010946452.1,response regulator transcription factor,LPG_RS03545,,780630,781301,-,NC_002942.5,0,0,0,0
692,WP_010946453.1,lpg0716 family Dot/Icm T4SS effector,LPG_RS03550,,781434,782447,+,NC_002942.5,1,1,1,1
693,WP_010946454.1,hypothetical protein,LPG_RS03555,,782548,783009,-,NC_002942.5,0,0,0,0
694,WP_010946455.1,dicarboxylate/amino acid:cation symporter,LPG_RS03560,,783098,784345,-,NC_002942.5,0,0,0,0
695,WP_010946456.1,valine--tRNA ligase,LPG_RS03565,,784467,787232,-,NC_002942.5,0,0,0,0
696,WP_010946457.1,efflux RND transporter permease subunit,LPG_RS03570,,787491,790538,-,NC_002942.5,0,0,0,0
697,WP_010946458.1,efflux RND transporter periplasmic adaptor subunit,LPG_RS03575,,790655,791917,-,NC_002942.5,0,0,0,0
698,WP_010946459.1,hypothetical protein,LPG_RS03580,,792158,792562,+,NC_002942.5,0,0,0,0
699,WP_010946460.1,hypothetical protein,LPG_RS03585,,792628,793065,+,NC_002942.5,0,0,0,1
700,WP_010946461.1,BON domain-containing protein,LPG_RS03590,,793190,793501,+,NC_002942.5,0,0,0,0
701,WP_010946462.1,serine hydroxymethyltransferase,LPG_RS03595,,793529,794782,+,NC_002942.5,0,0,0,0
702,WP_010946463.1,transcriptional regulator NrdR,LPG_RS03600,nrdR,794785,795252,+,NC_002942.5,0,0,0,0
703,WP_011213300.1,transcription antitermination factor NusB,LPG_RS03605,nusB,795310,795753,+,NC_002942.5,0,0,0,0
704,WP_011213301.1,thiamine-phosphate kinase,LPG_RS03610,thiL,795746,796702,+,NC_002942.5,0,0,0,0
705,WP_010946466.1,phosphatidylglycerophosphatase A,LPG_RS03615,,796792,797274,+,NC_002942.5,0,0,0,0
706,WP_010946467.1,AI-2E family transporter,LPG_RS03620,,797274,798326,+,NC_002942.5,0,0,0,0
707,WP_010946468.1,hypothetical protein,LPG_RS03625,,798318,799055,-,NC_002942.5,0,0,0,0
708,WP_010946469.1,outer membrane beta-barrel protein,LPG_RS03630,,799065,799703,-,NC_002942.5,0,0,0,0
709,WP_010946470.1,Dot/Icm T4SS effector RavH,LPG_RS03635,ravH,799869,801317,+,NC_002942.5,1,1,1,1
710,WP_010946471.1,NAD+ synthase,LPG_RS03640,,801369,802979,-,NC_002942.5,0,0,0,0
711,WP_010946472.1,DEAD/DEAH box helicase,LPG_RS03645,,803263,806529,+,NC_002942.5,0,0,0,0
712,WP_010946474.1,DUF2147 domain-containing protein,LPG_RS03650,,806788,807222,+,NC_002942.5,0,0,0,0
713,WP_010946475.1,replicative DNA helicase,LPG_RS03655,dnaB,807400,808782,+,NC_002942.5,0,0,0,0
714,WP_010946476.1,alanine racemase,LPG_RS03660,alr,808784,809857,+,NC_002942.5,0,0,0,0
715,WP_010946477.1,RT0821/Lpp0805 family surface protein,LPG_RS03665,,809930,810379,+,NC_002942.5,0,0,0,0
716,WP_011213303.1,CBS domain-containing protein,LPG_RS03670,,810687,811121,+,NC_002942.5,0,0,0,0
717,WP_011213304.1,membrane protein,LPG_RS03675,,811230,812417,+,NC_002942.5,0,0,0,0
718,WP_010946480.1,CDGSH iron-sulfur domain-containing protein,LPG_RS03680,,812529,812825,+,NC_002942.5,0,0,0,0
719,WP_010946481.1,GGDEF domain-containing protein,LPG_RS03685,,812822,814372,+,NC_002942.5,0,0,0,1
720,WP_010946482.1,lipoyl synthase,LPG_RS03690,lipA,814524,815513,+,NC_002942.5,0,0,0,0
721,WP_011213305.1,GIY-YIG nuclease family protein,LPG_RS03695,,815825,816106,-,NC_002942.5,0,0,0,0
722,WP_010946483.1,peptide MFS transporter,LPG_RS03700,,816831,818339,-,NC_002942.5,0,0,0,0
723,WP_010946484.1,class I SAM-dependent methyltransferase,LPG_RS03705,,818378,819196,-,NC_002942.5,0,0,0,0
724,WP_164919819.1,N-acetyl sugar amidotransferase,LPG_RS03710,,819383,820738,+,NC_002942.5,0,0,0,1
725,WP_011213307.1,glycosyl amidation-associated protein WbuZ,LPG_RS03715,wbuZ,820738,821499,+,NC_002942.5,0,0,0,0
726,WP_010946487.1,imidazole glycerol phosphate synthase subunit HisH,LPG_RS03720,hisH,821496,822137,+,NC_002942.5,0,0,0,0
727,WP_010946488.1,"CMP-N,N'-diacetyllegionaminic acid synthase",LPG_RS03725,neuA,822150,822848,+,NC_002942.5,0,0,0,0
728,WP_011213308.1,"N,N'-diacetyllegionaminate synthase",LPG_RS03730,legI,822845,823867,+,NC_002942.5,0,0,0,0
729,WP_010946490.1,UDP-N-acetylglucosamine 2-epimerase,LPG_RS03735,neuC,823867,825000,+,NC_002942.5,0,0,0,0
730,WP_010946491.1,acetyltransferase,LPG_RS03740,,824990,825598,+,NC_002942.5,0,0,0,0
732,WP_229020436.1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,LPG_RS03745,,825927,827111,+,NC_002942.5,0,0,0,0
733,WP_010946493.1,"dTDP-4-dehydrorhamnose 3,5-epimerase",LPG_RS03750,rfbC,827201,827764,+,NC_002942.5,0,0,0,0
734,WP_010946494.1,dTDP-4-dehydrorhamnose reductase,LPG_RS03755,rfbD,827765,828649,+,NC_002942.5,0,0,0,0
735,WP_010946495.1,"dTDP-glucose 4,6-dehydratase",LPG_RS03760,rfbB,828609,829688,+,NC_002942.5,0,0,0,0
736,WP_025862603.1,glucose-6-phosphate isomerase,LPG_RS03765,pgi,829742,831226,+,NC_002942.5,0,0,0,0
737,WP_011213310.1,glucose-1-phosphate thymidylyltransferase RfbA,LPG_RS03770,rfbA,831381,832256,+,NC_002942.5,0,0,0,0
738,WP_010946498.1,NAD-dependent epimerase/dehydratase family protein,LPG_RS03775,,832277,833233,+,NC_002942.5,0,0,0,0
739,WP_010946499.1,glycosyltransferase family 4 protein,LPG_RS03780,,833217,834221,+,NC_002942.5,0,0,0,0
740,WP_010946500.1,hypothetical protein,LPG_RS15320,,834336,834578,+,NC_002942.5,0,0,0,0
741,WP_010946501.1,hypothetical protein,LPG_RS15325,,834580,835104,+,NC_002942.5,0,0,0,1
742,WP_011945900.1,hypothetical protein,LPG_RS15330,,835281,835577,+,NC_002942.5,0,0,0,0
743,WP_010946502.1,hypothetical protein,LPG_RS03790,,835678,837474,-,NC_002942.5,0,0,0,1
744,WP_010946503.1,hypothetical protein,LPG_RS03795,,837477,838595,-,NC_002942.5,0,0,0,0
745,WP_010946504.1,phosphotransferase,LPG_RS03800,,838606,839643,-,NC_002942.5,0,1,1,1
746,WP_010946505.1,N-acetylneuraminate synthase family protein,LPG_RS03805,,839597,840688,-,NC_002942.5,0,0,0,0
747,WP_010946506.1,class I SAM-dependent methyltransferase,LPG_RS03810,,840701,841420,-,NC_002942.5,0,0,0,0
748,WP_010946507.1,hypothetical protein,LPG_RS03815,,841736,843253,+,NC_002942.5,0,0,0,0
749,WP_011213312.1,hypothetical protein,LPG_RS03820,,843486,845168,+,NC_002942.5,0,0,0,0
750,WP_010946509.1,ABC transporter permease,LPG_RS03825,,845134,845985,+,NC_002942.5,0,0,0,0
751,WP_010946510.1,ABC transporter ATP-binding protein,LPG_RS03830,,845982,847406,+,NC_002942.5,0,0,0,0
752,WP_010946511.1,hypothetical protein,LPG_RS03835,,847412,848560,+,NC_002942.5,0,0,0,0
753,WP_010946512.1,glycosyltransferase family 2 protein,LPG_RS03840,,848574,849263,-,NC_002942.5,0,0,0,0
754,WP_010946514.1,acyltransferase,LPG_RS03845,,850246,851319,+,NC_002942.5,0,0,0,0
755,WP_010946515.1,glycosyltransferase family 2 protein,LPG_RS03850,,851432,852325,-,NC_002942.5,0,0,0,0
756,WP_010946516.1,glycosyltransferase family 2 protein,LPG_RS03855,,852319,853338,-,NC_002942.5,0,0,0,0
757,WP_010946517.1,MBL fold metallo-hydrolase,LPG_RS03860,,853550,854257,+,NC_002942.5,0,0,0,0
758,WP_011213314.1,carbon storage regulator CsrA,LPG_RS03865,csrA,854816,855010,+,NC_002942.5,0,0,0,0
759,WP_010946519.1,acyltransferase,LPG_RS03870,,855136,857118,-,NC_002942.5,0,0,0,0
760,WP_010946520.1,biotin--[acetyl-CoA-carboxylase,LPG_RS03875,,857281,858276,-,NC_002942.5,0,0,0,0
761,WP_010946521.1,4'-phosphopantetheinyl transferase superfamily protein,LPG_RS03880,,858280,859017,-,NC_002942.5,0,0,0,0
762,WP_010946522.1,acetyl-CoA carboxylase carboxyltransferase subunit alpha,LPG_RS03885,,859099,860052,+,NC_002942.5,0,0,0,0
763,WP_011213315.1,tRNA lysidine(34) synthetase TilS,LPG_RS03890,tilS,860045,861340,+,NC_002942.5,0,0,0,0
764,WP_126297583.1,hypothetical protein,LPG_RS03895,,861379,861594,+,NC_002942.5,0,0,0,0
765,WP_010946524.1,transposase,LPG_RS03900,,861690,862226,+,NC_002942.5,0,0,0,0
766,WP_011213316.1,DUF1574 family protein,LPG_RS03905,,862565,863731,+,NC_002942.5,0,0,0,0
767,WP_010946526.1,MBOAT family protein,LPG_RS03910,,863728,865170,+,NC_002942.5,0,0,0,0
768,WP_010946527.1,L-serine ammonia-lyase,LPG_RS03915,,865269,866645,-,NC_002942.5,0,0,0,0
769,WP_011213317.1,macrophage infectivity potentiator Mip,LPG_RS03920,mip,866850,867551,+,NC_002942.5,0,0,0,0
770,WP_011213318.1,MFS transporter,LPG_RS03925,,867717,868976,+,NC_002942.5,0,0,0,0
772,WP_010946533.1,lpg0796 family Dot/Icm T4SS effector,LPG_RS03935,,870831,871481,+,NC_002942.5,1,1,1,1
773,WP_010946534.1,DUF3757 domain-containing protein,LPG_RS03945,,871761,872147,+,NC_002942.5,0,0,0,0
774,WP_010946535.1,quinolinate synthase NadA,LPG_RS03950,nadA,872251,873594,-,NC_002942.5,0,0,0,0
775,WP_010946536.1,L-aspartate oxidase,LPG_RS03955,nadB,873669,875318,-,NC_002942.5,0,0,0,0
776,WP_010946537.1,adenylosuccinate lyase,LPG_RS03960,purB,875315,876685,-,NC_002942.5,0,0,0,1
777,WP_010946538.1,sulfate permease,LPG_RS03965,sulP,876838,878541,+,NC_002942.5,0,0,0,0
778,WP_010946539.1,acyl-CoA dehydrogenase family protein,LPG_RS03970,,878744,880447,-,NC_002942.5,0,0,0,1
779,WP_010946540.1,linear amide C-N hydrolase,LPG_RS03975,,880677,881675,-,NC_002942.5,0,0,0,0
780,WP_010946541.1,phosphoenolpyruvate synthase,LPG_RS03980,ppsA,881900,884287,+,NC_002942.5,0,0,0,0
781,WP_010946542.1,cation:proton antiporter,LPG_RS03985,,884529,885968,+,NC_002942.5,0,0,0,0
782,WP_010946543.1,carboxylating nicotinate-nucleotide diphosphorylase,LPG_RS03990,nadC,885965,886807,+,NC_002942.5,0,0,0,0
783,WP_010946544.1,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,LPG_RS03995,,886804,887895,+,NC_002942.5,0,0,0,0
784,WP_010946545.1,M20 family metallopeptidase,LPG_RS04000,,887870,889285,+,NC_002942.5,0,0,0,0
785,WP_010946546.1,helix-hairpin-helix domain-containing protein,LPG_RS04005,,889377,889694,+,NC_002942.5,0,0,0,0
786,WP_011213320.1,rod shape-determining protein,LPG_RS04010,,889890,890927,+,NC_002942.5,0,0,0,0
787,WP_010946548.1,rod shape-determining protein MreC,LPG_RS04015,mreC,890905,891813,+,NC_002942.5,0,0,0,0
788,WP_010946549.1,rod shape-determining protein MreD,LPG_RS04020,mreD,891810,892289,+,NC_002942.5,0,0,0,0
789,WP_011213321.1,pseudouridine synthase,LPG_RS04025,,892225,892827,-,NC_002942.5,0,0,0,0
790,WP_010946551.1,hypothetical protein,LPG_RS04030,,893088,893786,+,NC_002942.5,0,0,0,0
791,WP_010946552.1,NADP-dependent isocitrate dehydrogenase,LPG_RS04035,icd,893884,895152,+,NC_002942.5,0,0,0,0
792,WP_010946553.1,ATP-dependent Clp protease adapter ClpS,LPG_RS04040,clpS,895554,895889,+,NC_002942.5,0,0,0,0
793,WP_011213323.1,ATP-dependent Clp protease ATP-binding subunit ClpA,LPG_RS04045,clpA,895921,898188,+,NC_002942.5,0,0,0,0
794,WP_010946555.1,IS4 family transposase,LPG_RS04050,,898489,899574,+,NC_002942.5,0,0,0,0
795,WP_010946556.1,GIY-YIG nuclease family protein,LPG_RS04055,,899600,899893,+,NC_002942.5,0,0,0,0
796,WP_010946557.1,glycosyltransferase family 2 protein,LPG_RS04060,,900049,900828,+,NC_002942.5,0,0,0,0
797,WP_010946558.1,O-antigen ligase family protein,LPG_RS04065,,900831,902081,+,NC_002942.5,0,0,0,0
798,WP_011213324.1,hypothetical protein,LPG_RS04070,,902082,902417,-,NC_002942.5,0,0,0,0
799,WP_010946560.1,rhomboid family intramembrane serine protease,LPG_RS04075,,902587,903186,-,NC_002942.5,0,0,0,0
800,WP_011213325.1,M23 family metallopeptidase,LPG_RS04080,,903183,904085,-,NC_002942.5,0,0,0,0
801,WP_010946562.1,exodeoxyribonuclease VII large subunit,LPG_RS04085,xseA,904094,905425,-,NC_002942.5,0,0,0,0
802,WP_010946563.1,TolC family outer membrane protein,LPG_RS04090,,905575,907299,+,NC_002942.5,0,0,0,0
803,WP_014843573.1,transglutaminase-like cysteine peptidase,LPG_RS04095,,907331,907984,+,NC_002942.5,0,0,0,0
804,WP_010946565.1,EAL domain-containing protein,LPG_RS04100,,908000,909919,+,NC_002942.5,0,0,0,0
805,WP_010946566.1,thioesterase domain-containing protein,LPG_RS04105,,910055,910780,+,NC_002942.5,0,0,0,0
806,WP_011213326.1,NAD(P)-binding domain-containing protein,LPG_RS04110,,910758,912098,+,NC_002942.5,0,0,0,0
807,WP_011213327.1,SDR family NAD(P)-dependent oxidoreductase,LPG_RS04115,,912191,913039,-,NC_002942.5,0,0,0,0
808,WP_011945949.1,hypothetical protein,LPG_RS04120,,913342,913509,+,NC_002942.5,0,1,1,1
809,WP_010946569.1,indole-3-glycerol phosphate synthase TrpC,LPG_RS04125,trpC,913515,914291,-,NC_002942.5,0,0,0,0
810,WP_010946570.1,anthranilate phosphoribosyltransferase,LPG_RS04130,trpD,914284,915318,-,NC_002942.5,0,0,0,0
811,WP_010946571.1,aminodeoxychorismate/anthranilate synthase component II,LPG_RS04135,,915296,915874,-,NC_002942.5,0,0,0,0
812,WP_010946572.1,LPS export ABC transporter ATP-binding protein,LPG_RS04140,lptB,915908,916633,-,NC_002942.5,0,0,0,0
813,WP_010946573.1,lipopolysaccharide transport periplasmic protein LptA,LPG_RS04145,lptA,916630,917139,-,NC_002942.5,0,0,0,0
814,WP_010946574.1,LPS export ABC transporter periplasmic protein LptC,LPG_RS04150,lptC,917120,917689,-,NC_002942.5,0,0,0,0
815,WP_011213328.1,3-deoxy-manno-octulosonate-8-phosphatase KdsC,LPG_RS04155,kdsC,917686,918213,-,NC_002942.5,0,0,0,0
816,WP_010946576.1,KpsF/GutQ family sugar-phosphate isomerase,LPG_RS04160,,918227,919189,-,NC_002942.5,0,0,0,0
817,WP_010946577.1,ATP-binding cassette domain-containing protein,LPG_RS04165,,919557,920354,+,NC_002942.5,0,0,0,0
818,WP_010946578.1,lipid asymmetry maintenance ABC transporter permease subunit MlaE,LPG_RS04170,mlaE,920347,921129,+,NC_002942.5,0,0,0,0
819,WP_010946579.1,outer membrane lipid asymmetry maintenance protein MlaD,LPG_RS04175,mlaD,921130,921606,+,NC_002942.5,0,0,0,0
820,WP_010946580.1,ABC transporter substrate-binding protein,LPG_RS04180,,921614,922222,+,NC_002942.5,0,0,0,0
821,WP_010946581.1,STAS domain-containing protein,LPG_RS04185,,922225,922506,+,NC_002942.5,0,0,0,0
822,WP_010946582.1,BolA/IbaG family iron-sulfur metabolism protein,LPG_RS04190,,922896,923141,+,NC_002942.5,0,0,0,0
823,WP_010946583.1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,LPG_RS04195,murA,923134,924402,+,NC_002942.5,0,0,0,0
824,WP_010946584.1,Nif3-like dinuclear metal center hexameric protein,LPG_RS04200,,924399,925157,+,NC_002942.5,0,0,0,0
825,WP_010946585.1,ABC transporter ATP-binding protein,LPG_RS04205,,925346,926023,-,NC_002942.5,0,0,0,0
826,WP_010946586.1,ABC transporter permease,LPG_RS04210,,926020,927270,-,NC_002942.5,0,0,0,0
827,WP_010946587.1,efflux RND transporter periplasmic adaptor subunit,LPG_RS04215,,927270,928286,-,NC_002942.5,0,0,0,0
828,WP_010946588.1,hypothetical protein,LPG_RS04220,,928676,929269,+,NC_002942.5,0,0,0,0
829,WP_010946589.1,sigma-54 dependent transcriptional regulator,LPG_RS04225,,929465,930880,+,NC_002942.5,0,0,0,0
830,WP_010946590.1,hypothetical protein,LPG_RS04230,,930924,931205,-,NC_002942.5,0,1,1,1
831,WP_015444709.1,protease SohB,LPG_RS04235,sohB,931428,932363,-,NC_002942.5,0,0,0,0
832,WP_010946592.1,heme ABC exporter ATP-binding protein CcmA,LPG_RS04240,ccmA,932511,933113,+,NC_002942.5,0,0,0,0
833,WP_010946593.1,heme exporter protein CcmB,LPG_RS04245,ccmB,933110,933790,+,NC_002942.5,0,0,0,0
834,WP_011213329.1,heme ABC transporter permease CcmC,LPG_RS04250,ccmC,934004,934759,+,NC_002942.5,0,0,0,0
835,WP_011945969.1,heme exporter protein CcmD,LPG_RS04255,ccmD,934743,934901,+,NC_002942.5,0,0,0,0
836,WP_010946596.1,cytochrome c maturation protein CcmE,LPG_RS04260,ccmE,934907,935338,+,NC_002942.5,0,0,0,0
837,WP_010946597.1,heme lyase CcmF/NrfE family subunit,LPG_RS04265,,935335,937287,+,NC_002942.5,0,0,0,0
838,WP_010946598.1,DsbE family thiol:disulfide interchange protein,LPG_RS04270,,937284,937817,+,NC_002942.5,0,0,0,0
839,WP_010946599.1,cytochrome c-type biogenesis protein CcmH,LPG_RS04275,,937817,938218,+,NC_002942.5,0,0,0,0
840,WP_011213331.1,tetratricopeptide repeat protein,LPG_RS04280,,938211,938897,+,NC_002942.5,0,0,0,0
841,WP_011213332.1,dodecin family protein,LPG_RS04285,,938887,939090,+,NC_002942.5,0,0,0,0
842,WP_010946601.1,DUF4156 domain-containing protein,LPG_RS04290,,939146,939550,+,NC_002942.5,0,0,0,0
843,WP_010946602.1,DNA-3-methyladenine glycosylase,LPG_RS04295,,939745,940296,-,NC_002942.5,0,0,0,0
844,WP_010946603.1,DNA helicase RecQ,LPG_RS04300,recQ,940306,942132,-,NC_002942.5,0,0,0,0
845,WP_010946604.1,acyl-CoA dehydrogenase family protein,LPG_RS04305,,942246,943400,+,NC_002942.5,0,0,0,0
846,WP_011213333.1,enoyl-CoA hydratase-related protein,LPG_RS04310,,943417,944193,+,NC_002942.5,0,0,0,0
847,WP_010946606.1,enoyl-CoA hydratase/isomerase family protein,LPG_RS04315,,944196,945254,+,NC_002942.5,0,0,0,0
848,WP_010946607.1,Lpg0189 family type II secretion system effector,LPG_RS04320,,945420,946286,-,NC_002942.5,0,0,0,1
849,WP_010946608.1,peptide chain release factor 3,LPG_RS04325,,946510,948090,+,NC_002942.5,0,0,0,0
850,WP_011213334.1,hypothetical protein,LPG_RS04330,,948156,948539,-,NC_002942.5,0,0,0,0
851,WP_011213335.1,NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta,LPG_RS04335,,948674,950071,-,NC_002942.5,0,0,0,0
852,WP_010946611.1,proton-translocating transhydrogenase family protein,LPG_RS04340,,950095,950391,-,NC_002942.5,0,0,0,0
853,WP_010946612.1,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,LPG_RS04345,,950384,951517,-,NC_002942.5,0,0,0,0
854,WP_010946613.1,CAP domain-containing protein,LPG_RS04350,,951911,952465,-,NC_002942.5,0,0,0,0
855,WP_011213336.1,hypothetical protein,LPG_RS04355,,952719,952994,-,NC_002942.5,0,0,0,0
856,WP_011213337.1,diguanylate cyclase,LPG_RS04360,,953291,954424,+,NC_002942.5,0,0,0,0
857,WP_010946616.1,hypothetical protein,LPG_RS04365,,954486,955127,-,NC_002942.5,0,0,0,0
858,WP_010946617.1,hypothetical protein,LPG_RS04375,,955610,956044,+,NC_002942.5,0,1,1,0
859,WP_010946618.1,hypothetical protein,LPG_RS04380,,956168,956614,+,NC_002942.5,0,0,0,0
860,WP_010946620.1,glycosyl hydrolase,LPG_RS04385,,956741,957817,+,NC_002942.5,0,0,0,0
861,WP_010946621.1,dicarboxylate/amino acid:cation symporter,LPG_RS04390,,958332,959612,+,NC_002942.5,0,0,0,0
862,WP_010946622.1,succinyl-diaminopimelate desuccinylase,LPG_RS04395,dapE,959936,961069,-,NC_002942.5,0,0,0,0
863,WP_010946623.1,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",LPG_RS04400,dapD,961062,961892,-,NC_002942.5,0,0,0,0
864,WP_010946624.1,acyltransferase,LPG_RS04405,,961896,962789,-,NC_002942.5,0,0,0,0
865,WP_010946625.1,PLP-dependent aspartate aminotransferase family protein,LPG_RS04410,,962856,964007,-,NC_002942.5,0,0,0,0
866,WP_010946626.1,EAL domain-containing protein,LPG_RS04415,,964156,966471,+,NC_002942.5,0,0,0,0
867,WP_010946627.1,FAD-dependent monooxygenase,LPG_RS04420,,966773,968122,+,NC_002942.5,0,0,0,0
868,WP_011213338.1,hypothetical protein,LPG_RS04425,,968340,969092,+,NC_002942.5,0,0,0,1
869,WP_010946629.1,FAD-binding protein,LPG_RS04430,,969049,970419,+,NC_002942.5,0,0,0,0
870,WP_010946630.1,type II secretory system protein LspC,LPG_RS04435,lspC,970769,971278,+,NC_002942.5,0,0,0,0
871,WP_010946631.1,sel1 repeat family protein,LPG_RS04440,,971284,971661,+,NC_002942.5,0,0,0,0
872,WP_010946632.1,calcium/sodium antiporter,LPG_RS04445,,971743,972702,-,NC_002942.5,0,0,0,0
873,WP_010946633.1,Dot/Icm T4SS effector Ceg18,LPG_RS04450,ceg18,972975,973706,-,NC_002942.5,1,1,0,1
874,WP_010946634.1,A/G-specific adenine glycosylase,LPG_RS04455,mutY,973918,974985,-,NC_002942.5,0,0,0,0
875,WP_011213340.1,AsmA family protein,LPG_RS04460,,974982,976523,-,NC_002942.5,0,0,0,0
876,WP_010946636.1,hypothetical protein,LPG_RS04465,,976937,977593,+,NC_002942.5,0,1,1,0
877,WP_011213341.1,hypothetical protein,LPG_RS04470,,977604,978500,+,NC_002942.5,0,1,1,1
878,WP_011213342.1,hypothetical protein,LPG_RS04480,,978716,979054,+,NC_002942.5,0,0,0,0
879,WP_010946638.1,trypsin-like peptidase domain-containing protein,LPG_RS04485,,979029,980120,+,NC_002942.5,0,0,0,0
880,WP_010946639.1,isochorismatase family protein,LPG_RS04490,,980240,980785,+,NC_002942.5,0,0,0,0
881,WP_010946640.1,SDR family NAD(P)-dependent oxidoreductase,LPG_RS04495,,980995,981738,+,NC_002942.5,0,0,0,0
882,WP_010946641.1,flagellar protein FlgN,LPG_RS04500,,981795,982292,-,NC_002942.5,0,0,0,1
883,WP_010946642.1,flagellar biosynthesis anti-sigma factor FlgM,LPG_RS04505,flgM,982309,982629,-,NC_002942.5,0,0,0,0
884,WP_010946643.1,flagellar basal body P-ring formation chaperone FlgA,LPG_RS04510,flgA,982720,983421,-,NC_002942.5,0,0,0,0
885,WP_010946644.1,c-type cytochrome,LPG_RS04515,,983508,983915,+,NC_002942.5,0,0,0,0
886,WP_010946645.1,"L,D-transpeptidase",LPG_RS04520,,983992,984549,+,NC_002942.5,0,0,0,0
